quarter,actual,predicted,alpha,n_selected,error
2013Q1,-0.4,-0.28098579656041384,0.2329951810515372,4,-0.11901420343958619
2013Q2,0.5,-0.3830996691234986,0.09102981779915217,7,0.8830996691234986
2013Q3,0.3,0.12369889630065012,0.09102981779915217,6,0.17630110369934987
2013Q4,0.1,0.28264478619527206,0.07543120063354615,6,-0.18264478619527205
2014Q1,0.0,0.05823342499334841,0.2329951810515372,3,-0.05823342499334841
2014Q2,0.5,0.20476190476190476,10.0,0,0.29523809523809524
2014Q3,0.2,0.43042081010158895,0.013894954943731374,12,-0.23042081010158894
2014Q4,0.4,0.21729586649993957,0.13257113655901082,9,0.18270413350006046
2015Q1,0.0,0.18892493160718216,0.02442053094548651,9,-0.18892493160718216
2015Q2,0.6,0.32699917394290395,0.03556480306223128,9,0.273000826057096
2015Q3,0.4,0.2968566642873829,0.09102981779915217,9,0.10314333571261713
2015Q4,0.4,0.15025572177028207,0.029470517025518096,7,0.24974427822971795
2016Q1,1.1,0.009530384152655197,0.03556480306223128,7,1.0904696158473448
2016Q2,-0.1,0.44210325510476434,0.03556480306223128,8,-0.5421032551047643
2016Q3,0.5,0.22164722604850967,0.03556480306223128,8,0.27835277395149033
2016Q4,0.6,0.267741935483871,0.3393221771895326,0,0.332258064516129
2017Q1,1.0,0.27248753029056616,0.2329951810515372,1,0.7275124697094338
2017Q2,0.3,0.3025287985924117,0.2329951810515372,2,-0.0025287985924117296
2017Q3,0.6,0.44965029935247136,0.009540954763499945,14,0.15034970064752862
2017Q4,0.5,0.27146818097811226,0.013894954943731374,15,0.22853181902188774
2018Q1,0.6,0.44339266468955707,0.020235896477251564,12,0.1566073353104429
2018Q2,0.8,0.3255783136015135,0.009540954763499945,19,0.47442168639848653
2018Q3,0.4,0.5972098871446299,0.009540954763499945,16,-0.19720988714462984
2018Q4,0.9,0.23861195393371315,0.0079060432109077,17,0.6613880460662869
2019Q1,1.1,0.4318774484856426,0.19306977288832497,2,0.6681225515143575
2019Q2,-0.6,0.4702653509041387,0.19306977288832497,2,-1.0702653509041387
2019Q3,0.2,0.3105817681931134,0.15998587196060574,3,-0.11058176819311338
2019Q4,-0.6,0.34321651856337054,0.13257113655901082,4,-0.9432165185633705
2020Q1,-1.1,0.3204545454545455,10.0,0,-1.4204545454545456
2020Q2,-12.6,-1.6753664450161792,0.016768329368110076,15,-10.92463355498382
2020Q3,11.5,-1.1068731907519065,1.0481131341546852,2,12.606873190751907
2020Q4,-1.5,0.25319148936170216,10.0,0,-1.7531914893617022
2021Q1,-1.0,0.2166666666666667,10.0,0,-1.2166666666666668
2021Q2,4.6,0.1918367346938776,10.0,0,4.408163265306122
2021Q3,3.1,0.28,10.0,0,2.8200000000000003
2021Q4,0.3,0.33529411764705885,10.0,0,-0.035294117647058865
2022Q1,0.3,0.33461538461538465,10.0,0,-0.03461538461538466
2022Q2,2.9,0.33396226415094343,10.0,0,2.5660377358490565
2022Q3,0.0,0.38148148148148153,10.0,0,-0.38148148148148153
2022Q4,0.0,0.37454545454545457,10.0,0,-0.37454545454545457
2023Q1,-0.1,0.3678571428571429,10.0,0,-0.46785714285714286
2023Q2,-1.2,0.35964912280701755,10.0,0,-1.5596491228070175
2023Q3,-0.5,0.33275862068965517,10.0,0,-0.8327586206896551
2023Q4,-0.5,0.3186440677966102,10.0,0,-0.8186440677966103
2024Q1,0.1,0.305,10.0,0,-0.205
2024Q2,-0.2,0.3016393442622951,10.0,0,-0.5016393442622951
2024Q3,0.0,0.2935483870967742,10.0,0,-0.2935483870967742
2024Q4,0.5,0.2888888888888889,10.0,0,0.21111111111111108
2025Q1,0.4,0.29218750000000004,10.0,0,0.10781249999999998
2025Q2,0.1,0.29384615384615387,10.0,0,-0.19384615384615386
2025Q3,0.4,0.29090909090909095,10.0,0,0.10909090909090907
2025Q4,0.2,0.29253731343283584,10.0,0,-0.09253731343283583
2026Q1,0.2,0.2911764705882353,10.0,0,-0.0911764705882353
