quarter,actual,predicted,error
2013Q1,-1.1,-0.255682380952381,-0.8443176190476192
2013Q2,-0.3,-0.4340870634920634,0.1340870634920634
2013Q3,-0.3,0.011366984126984123,-0.3113669841269841
2013Q4,0.4,0.148888571428572,0.251111428571428
2014Q1,0.8,0.01934833333333334,0.7806516666666667
2014Q2,0.9,0.5736469047619049,0.3263530952380951
2014Q3,0.7,0.5255617460317457,0.1744382539682543
2014Q4,1.1,0.4686702380952381,0.631329761904762
2015Q1,1.1,0.7927757936507943,0.3072242063492058
2015Q2,1.2,0.8887981746031762,0.31120182539682373
2015Q3,1.4,0.8062351587301594,0.5937648412698405
2015Q4,1.4,0.7460511904761906,0.6539488095238093
2016Q1,2.5,0.7451969047619044,1.7548030952380955
2016Q2,1.9,1.1644719047619048,0.7355280952380951
2016Q3,2.1,1.604714393939394,0.4952856060606061
2016Q4,2.3,1.2655307997557999,1.0344692002442
2017Q1,2.1,1.2720380158730153,0.8279619841269847
2017Q2,2.5,1.5382715873015873,0.9617284126984127
2017Q3,2.6,1.9095938383838367,0.6904061616161634
2017Q4,2.4,1.9770703174603161,0.42292968253968377
2018Q1,2.0,1.9876425396825395,0.012357460317460545
2018Q2,2.5,1.9081066716616697,0.5918933283383303
2018Q3,2.3,2.2580334920634906,0.041966507936509245
2018Q4,2.8,2.128407000222003,0.6715929997779968
2019Q1,3.3,2.067610461140168,1.2323895388598318
2019Q2,1.9,2.359930905695613,-0.4599309056956131
2019Q3,1.6,1.538826247641247,0.061173752358753
2019Q4,0.0,1.6717045604395608,-1.6717045604395608
2020Q1,-2.2,-0.43326169552669574,-1.7667383044733045
2020Q2,-14.0,-1.5140721212121215,-12.485927878787878
2020Q3,-4.3,-4.592943095238101,0.29294309523810114
2020Q4,-5.1,-4.272435036075037,-0.8275649639249627
2021Q1,-4.9,-5.501521984126983,0.6015219841269825
2021Q2,13.8,-5.019724139194134,18.819724139194136
2021Q3,5.3,1.2956625995406827,4.004337400459317
2021Q4,7.1,2.4699062445887443,4.630093755411256
2022Q1,8.5,1.8671697894570127,6.632830210542988
2022Q2,6.8,4.691034813560195,2.1089651864398045
2022Q3,3.5,4.089920930735931,-0.5899209307359312
2022Q4,3.2,4.447536273504279,-1.247536273504279
2023Q1,2.8,2.7813205499875124,0.018679450012487386
2023Q2,-1.3,2.4379883561059095,-3.7379883561059097
2023Q3,-1.8,-2.7294575631753073,0.9294575631753073
2023Q4,-2.2,-2.5168237956487953,0.31682379564879515
2024Q1,-2.1,-1.9396519447099174,-0.16034805529008267
2024Q2,-1.0,-1.2781463114912264,0.2781463114912264
2024Q3,-0.6,-1.4358361531453279,0.8358361531453279
2024Q4,0.3,-0.8570824743453499,1.1570824743453498
2025Q1,0.6,-0.03907216556308409,0.6390721655630841
2025Q2,0.9,0.17575897242726324,0.7242410275727368
2025Q3,1.3,0.352670261825938,0.947329738174062
2025Q4,1.1,0.7637387992353777,0.3362612007646224
2026Q1,0.9,0.02140994032463992,0.8785900596753601
