Kategorie: Alle Kategorien

Monat,Arbeitslosigkeit: (Österreich),Arbeitslosengeld: (Österreich),Kurzarbeit: (Österreich),Jobsuche: (Österreich),Insolvenz: (Österreich)
2008-01,1,3,0,9,2
2008-02,1,3,0,8,2
2008-03,1,2,0,7,2
2008-04,1,2,0,7,2
2008-05,1,2,0,6,2
2008-06,1,2,0,6,2
2008-07,<1,2,0,7,2
2008-08,<1,2,0,7,2
2008-09,1,2,0,8,2
2008-10,1,3,1,6,2
2008-11,1,3,1,7,3
2008-12,1,2,1,4,2
2009-01,1,3,4,7,3
2009-02,1,4,4,7,4
2009-03,1,4,3,7,4
2009-04,2,4,2,8,4
2009-05,1,4,2,8,4
2009-06,1,4,2,8,5
2009-07,1,4,1,8,4
2009-08,1,4,1,8,3
2009-09,1,4,1,9,3
2009-10,1,4,1,9,3
2009-11,1,4,1,8,3
2009-12,1,3,<1,6,2
2010-01,1,4,<1,9,3
2010-02,1,4,<1,10,3
2010-03,1,4,<1,9,3
2010-04,1,4,<1,8,2
2010-05,1,3,0,7,2
2010-06,1,4,<1,7,2
2010-07,1,3,0,7,2
2010-08,1,3,0,7,2
2010-09,1,4,0,6,2
2010-10,1,3,0,6,2
2010-11,1,3,0,5,3
2010-12,1,3,0,4,3
2011-01,1,3,0,5,3
2011-02,1,3,0,6,3
2011-03,1,3,<1,5,2
2011-04,1,3,0,5,2
2011-05,1,3,0,5,2
2011-06,1,3,0,4,2
2011-07,<1,3,0,4,3
2011-08,1,4,0,4,3
2011-09,1,4,0,5,3
2011-10,1,4,0,4,3
2011-11,1,4,<1,5,3
2011-12,1,3,<1,3,3
2012-01,1,4,0,5,4
2012-02,1,4,<1,5,4
2012-03,1,4,<1,4,3
2012-04,1,3,<1,4,3
2012-05,1,3,0,4,3
2012-06,1,3,<1,4,3
2012-07,1,3,<1,5,4
2012-08,1,3,<1,5,4
2012-09,1,4,<1,6,3
2012-10,1,4,<1,5,4
2012-11,1,4,<1,5,3
2012-12,1,3,<1,3,3
2013-01,1,3,<1,5,3
2013-02,1,3,<1,6,3
2013-03,1,3,0,6,3
2013-04,1,3,<1,6,4
2013-05,1,3,<1,5,3
2013-06,1,3,<1,5,5
2013-07,1,4,0,5,5
2013-08,1,3,0,6,2
2013-09,1,4,0,7,2
2013-10,1,4,0,6,2
2013-11,1,3,0,5,2
2013-12,1,3,<1,4,2
2014-01,1,4,0,6,2
2014-02,1,4,0,6,3
2014-03,1,4,<1,6,3
2014-04,1,3,0,5,2
2014-05,1,3,<1,5,2
2014-06,1,3,0,4,2
2014-07,1,4,0,4,2
2014-08,1,4,<1,4,2
2014-09,1,5,<1,5,2
2014-10,1,4,<1,5,2
2014-11,1,4,<1,4,2
2014-12,1,3,0,3,2
2015-01,1,4,<1,4,2
2015-02,1,4,<1,4,2
2015-03,1,4,<1,4,2
2015-04,1,4,<1,4,2
2015-05,1,4,0,3,2
2015-06,1,3,<1,3,2
2015-07,1,4,0,3,3
2015-08,1,4,0,3,2
2015-09,1,4,<1,4,3
2015-10,1,4,<1,4,2
2015-11,1,4,0,3,3
2015-12,1,3,0,2,3
2016-01,1,4,<1,3,2
2016-02,1,4,<1,3,3
2016-03,1,4,<1,3,2
2016-04,1,4,0,3,2
2016-05,1,3,0,3,2
2016-06,1,4,0,3,2
2016-07,1,3,0,2,2
2016-08,1,3,<1,3,2
2016-09,1,3,<1,3,2
2016-10,1,3,<1,3,2
2016-11,1,4,0,2,2
2016-12,1,3,0,2,2
2017-01,1,4,0,2,2
2017-02,1,4,<1,3,2
2017-03,1,4,0,2,2
2017-04,1,3,<1,2,2
2017-05,1,3,0,2,2
2017-06,1,3,0,2,2
2017-07,1,3,0,2,2
2017-08,<1,3,0,2,2
2017-09,1,4,0,2,2
2017-10,1,4,0,2,2
2017-11,1,4,0,2,3
2017-12,1,4,<1,2,2
2018-01,1,5,0,2,3
2018-02,1,4,0,2,2
2018-03,1,4,0,2,2
2018-04,1,4,0,2,2
2018-05,1,4,0,2,2
2018-06,1,4,0,2,2
2018-07,<1,4,0,2,2
2018-08,<1,3,0,2,2
2018-09,1,4,0,2,2
2018-10,1,4,0,2,2
2018-11,1,4,0,2,2
2018-12,1,3,0,1,2
2019-01,1,4,0,2,2
2019-02,1,4,<1,2,2
2019-03,1,4,<1,2,2
2019-04,1,3,<1,1,2
2019-05,1,3,0,2,2
2019-06,<1,3,<1,1,2
2019-07,<1,4,<1,2,2
2019-08,<1,3,0,2,2
2019-09,1,3,<1,2,2
2019-10,1,4,<1,2,2
2019-11,1,3,<1,2,2
2019-12,1,3,<1,1,2
2020-01,1,4,<1,2,2
2020-02,1,4,<1,2,2
2020-03,1,10,100,1,2
2020-04,2,7,50,1,2
2020-05,1,5,31,1,3
2020-06,1,7,21,2,3
2020-07,1,5,11,1,2
2020-08,<1,4,9,1,2
2020-09,1,5,11,2,2
2020-10,1,5,9,1,2
2020-11,1,4,13,1,1
2020-12,1,4,7,1,1
2021-01,1,5,9,1,2
2021-02,1,4,8,1,2
2021-03,1,4,9,1,1
2021-04,1,4,8,1,1
2021-05,1,3,5,1,1
2021-06,1,3,5,1,1
2021-07,<1,3,3,1,1
2021-08,<1,3,2,1,1
2021-09,<1,4,2,1,1
2021-10,1,3,1,1,1
2021-11,1,3,7,1,1
2021-12,1,3,6,1,1
2022-01,1,4,4,1,1
2022-02,1,3,3,1,1
2022-03,1,4,3,1,1
2022-04,<1,3,3,1,1
2022-05,1,3,2,1,1
2022-06,1,3,1,1,1
2022-07,<1,3,1,1,1
2022-08,<1,3,1,1,1
2022-09,<1,4,1,1,2
2022-10,1,3,1,1,2
2022-11,1,3,1,1,2
2022-12,1,3,<1,1,2
2023-01,1,4,<1,1,2
2023-02,1,4,<1,1,2
2023-03,1,4,<1,1,2
2023-04,1,3,<1,1,2
2023-05,1,4,<1,1,2
2023-06,1,3,<1,1,3
2023-07,<1,3,<1,1,2
2023-08,<1,3,<1,1,2
2023-09,<1,4,1,1,2
2023-10,1,4,1,1,2
2023-11,1,4,<1,1,3
2023-12,<1,3,<1,1,3
2024-01,<1,4,<1,1,4
2024-02,1,4,<1,1,3
2024-03,1,4,<1,1,3
2024-04,1,3,<1,1,2
2024-05,<1,3,<1,1,2
2024-06,<1,3,<1,1,3
2024-07,<1,3,1,1,3
2024-08,<1,3,<1,1,3
2024-09,1,4,<1,1,3
2024-10,1,4,<1,1,3
2024-11,1,4,<1,1,5
2024-12,1,3,<1,1,5
2025-01,1,5,<1,1,4
2025-02,1,4,<1,1,4
2025-03,1,4,<1,1,3
2025-04,1,4,<1,1,3
2025-05,<1,3,<1,1,3
2025-06,1,4,<1,1,3
2025-07,<1,3,<1,1,3
2025-08,<1,3,<1,1,3
2025-09,1,4,<1,1,3
2025-10,1,4,<1,1,4
2025-11,1,4,<1,1,4
2025-12,1,3,<1,1,4
2026-01,1,4,<1,1,4
2026-02,1,4,<1,1,3
2026-03,1,3,<1,1,4
2026-04,4,3,<1,1,15
2026-05,5,3,<1,1,12
2026-06,1,3,<1,1,32
2026-07,5,3,<1,1,13
