Kategorie: Alle Kategorien

Monat,Arbeitslosigkeit: (Österreich),Kredit: (Österreich),Immobilien kaufen: (Österreich),Auto kaufen: (Österreich),Urlaub buchen: (Österreich)
2008-01,12,53,7,14,5
2008-02,7,48,7,14,5
2008-03,9,53,8,11,4
2008-04,12,56,6,14,5
2008-05,10,54,6,14,4
2008-06,9,51,7,15,7
2008-07,3,61,7,15,7
2008-08,4,59,11,16,5
2008-09,6,57,10,15,0
2008-10,9,75,8,10,3
2008-11,11,57,6,12,0
2008-12,9,53,5,11,0
2009-01,10,59,9,14,4
2009-02,10,53,7,17,4
2009-03,13,62,9,17,5
2009-04,15,56,13,17,6
2009-05,13,50,13,14,6
2009-06,12,43,13,12,10
2009-07,9,49,16,16,10
2009-08,5,48,15,18,7
2009-09,10,50,14,14,3
2009-10,9,46,14,15,2
2009-11,12,43,12,15,3
2009-12,9,38,13,12,3
2010-01,13,43,16,15,7
2010-02,10,44,19,17,5
2010-03,12,52,18,18,6
2010-04,13,50,18,17,6
2010-05,8,52,21,18,6
2010-06,11,50,21,17,9
2010-07,5,44,21,19,10
2010-08,6,46,25,18,6
2010-09,6,44,18,17,4
2010-10,10,40,18,17,2
2010-11,9,40,17,15,3
2010-12,8,35,16,16,3
2011-01,8,46,23,18,9
2011-02,9,48,24,17,9
2011-03,7,49,21,17,9
2011-04,5,48,23,21,10
2011-05,10,49,22,20,12
2011-06,8,45,26,21,11
2011-07,4,53,35,21,19
2011-08,5,55,36,23,12
2011-09,5,47,29,22,6
2011-10,8,43,26,20,5
2011-11,9,44,22,18,4
2011-12,7,38,24,20,5
2012-01,10,51,28,22,12
2012-02,9,45,25,22,13
2012-03,9,48,24,22,11
2012-04,10,50,25,23,13
2012-05,10,49,27,23,13
2012-06,9,49,30,20,20
2012-07,6,51,32,24,21
2012-08,5,52,37,22,11
2012-09,7,51,29,22,5
2012-10,9,46,25,21,4
2012-11,9,45,24,20,4
2012-12,8,34,20,18,6
2013-01,10,48,29,21,15
2013-02,9,52,27,22,11
2013-03,9,50,29,23,11
2013-04,11,54,31,23,10
2013-05,10,48,29,24,13
2013-06,8,52,27,22,18
2013-07,5,55,29,25,23
2013-08,5,51,32,26,13
2013-09,8,49,31,26,6
2013-10,9,50,26,24,6
2013-11,10,46,27,25,7
2013-12,8,40,25,21,7
2014-01,12,59,31,23,19
2014-02,10,59,29,26,14
2014-03,10,57,30,27,12
2014-04,9,56,31,26,13
2014-05,11,55,29,28,14
2014-06,10,52,32,23,21
2014-07,6,53,32,27,22
2014-08,7,55,35,28,17
2014-09,9,60,32,28,8
2014-10,9,58,30,25,6
2014-11,11,50,29,23,7
2014-12,8,47,28,24,8
2015-01,12,82,34,29,17
2015-02,12,72,32,31,16
2015-03,10,69,34,28,13
2015-04,13,65,34,31,13
2015-05,12,60,31,30,14
2015-06,12,64,31,33,22
2015-07,9,62,34,40,22
2015-08,7,63,39,34,14
2015-09,9,60,36,37,7
2015-10,10,55,30,37,6
2015-11,11,54,30,37,5
2015-12,9,50,27,30,7
2016-01,11,69,34,37,13
2016-02,12,69,31,42,13
2016-03,10,74,30,39,12
2016-04,9,67,36,40,11
2016-05,10,62,32,40,13
2016-06,9,67,30,36,16
2016-07,8,62,32,36,21
2016-08,5,62,35,36,14
2016-09,8,68,32,36,8
2016-10,9,62,30,35,6
2016-11,12,63,29,31,6
2016-12,9,55,25,29,7
2017-01,11,67,33,41,15
2017-02,9,69,30,42,13
2017-03,9,79,32,39,12
2017-04,9,67,35,39,12
2017-05,9,74,30,39,15
2017-06,7,68,30,37,20
2017-07,6,74,36,44,20
2017-08,4,75,37,53,16
2017-09,6,72,36,51,7
2017-10,8,66,34,46,6
2017-11,7,65,34,43,6
2017-12,6,54,26,36,8
2018-01,9,77,36,47,17
2018-02,6,83,37,48,13
2018-03,7,77,33,50,12
2018-04,7,74,35,51,12
2018-05,7,76,34,51,14
2018-06,6,72,32,49,18
2018-07,5,75,37,47,21
2018-08,4,76,38,46,13
2018-09,6,77,35,48,10
2018-10,8,78,33,48,6
2018-11,6,68,27,38,8
2018-12,6,60,26,36,10
2019-01,7,76,34,45,19
2019-02,6,84,34,48,13
2019-03,6,85,35,47,13
