quarter,gdp_clv10_meur_sca
1995-Q1,53762.6
1995-Q2,54456.9
1995-Q3,54762.8
1995-Q4,55210.4
1996-Q1,55214.8
1996-Q2,55604.9
1996-Q3,55956.1
1996-Q4,55928.0
1997-Q1,56672.1
1997-Q2,56556.9
1997-Q3,56983.8
1997-Q4,57521.1
1998-Q1,58317.1
1998-Q2,58819.7
1998-Q3,58927.8
1998-Q4,59477.6
1999-Q1,59993.3
1999-Q2,60554.9
1999-Q3,61502.5
1999-Q4,62054.8
2000-Q1,62064.4
2000-Q2,62773.5
2000-Q3,63658.5
2000-Q4,64086.5
2001-Q1,63894.8
2001-Q2,63711.5
2001-Q3,63972.3
2001-Q4,64120.8
2002-Q1,64828.8
2002-Q2,64997.4
2002-Q3,64993.6
2002-Q4,64671.4
2003-Q1,64977.6
2003-Q2,65424.0
2003-Q3,65914.6
2003-Q4,66116.0
2004-Q1,66241.8
2004-Q2,66924.5
2004-Q3,67691.1
2004-Q4,67932.2
2005-Q1,68082.5
2005-Q2,68636.8
2005-Q3,68758.4
2005-Q4,69835.6
2006-Q1,70476.5
2006-Q2,70805.3
2006-Q3,71231.4
2006-Q4,72308.8
2007-Q1,73110.6
2007-Q2,73817.6
2007-Q3,74245.0
2007-Q4,74175.2
2008-Q1,75723.9
2008-Q2,75537.9
2008-Q3,75012.8
2008-Q4,73103.9
2009-Q1,72305.6
2009-Q2,71914.2
2009-Q3,72159.7
2009-Q4,72341.1
2010-Q1,72086.1
2010-Q2,73041.4
2010-Q3,73906.7
2010-Q4,74629.4
2011-Q1,75375.3
2011-Q2,75338.5
2011-Q3,75753.6
2011-Q4,76080.0
2012-Q1,76402.3
2012-Q2,76138.8
2012-Q3,76385.8
2012-Q4,75860.2
2013-Q1,75566.2
2013-Q2,75908.3
2013-Q3,76123.7
2013-Q4,76189.8
2014-Q1,76193.2
2014-Q2,76571.0
2014-Q3,76694.6
2014-Q4,77013.0
2015-Q1,77035.5
2015-Q2,77471.0
2015-Q3,77762.0
2015-Q4,78074.1
2016-Q1,78968.9
2016-Q2,78923.6
2016-Q3,79356.6
2016-Q4,79836.3
2017-Q1,80622.4
2017-Q2,80882.4
2017-Q3,81395.9
2017-Q4,81781.9
2018-Q1,82249.0
2018-Q2,82911.6
2018-Q3,83252.1
2018-Q4,84033.0
2019-Q1,84989.5
2019-Q2,84462.7
2019-Q3,84598.5
2019-Q4,84049.3
2020-Q1,83116.4
2020-Q2,72639.1
2020-Q3,80989.9
2020-Q4,79788.6
2021-Q1,79012.0
2021-Q2,82652.5
2021-Q3,85244.8
2021-Q4,85473.6
2022-Q1,85737.6
2022-Q2,88239.4
2022-Q3,88241.1
2022-Q4,88219.0
2023-Q1,88135.9
2023-Q2,87062.0
2023-Q3,86640.2
2023-Q4,86235.5
2024-Q1,86324.3
2024-Q2,86185.4
2024-Q3,86142.9
2024-Q4,86532.9
2025-Q1,86840.1
2025-Q2,86940.0
2025-Q3,87253.9
2025-Q4,87453.1
2026-Q1,87635.6
