quarter,gdp_clv_pch_pre_sca
1995-Q1,
1995-Q2,1.3
1995-Q3,0.6
1995-Q4,0.8
1996-Q1,0.0
1996-Q2,0.7
1996-Q3,0.6
1996-Q4,-0.1
1997-Q1,1.3
1997-Q2,-0.2
1997-Q3,0.8
1997-Q4,0.9
1998-Q1,1.4
1998-Q2,0.9
1998-Q3,0.2
1998-Q4,0.9
1999-Q1,0.9
1999-Q2,0.9
1999-Q3,1.6
1999-Q4,0.9
2000-Q1,0.0
2000-Q2,1.1
2000-Q3,1.4
2000-Q4,0.7
2001-Q1,-0.3
2001-Q2,-0.3
2001-Q3,0.4
2001-Q4,0.2
2002-Q1,1.1
2002-Q2,0.3
2002-Q3,0.0
2002-Q4,-0.5
2003-Q1,0.5
2003-Q2,0.7
2003-Q3,0.7
2003-Q4,0.3
2004-Q1,0.2
2004-Q2,1.0
2004-Q3,1.1
2004-Q4,0.4
2005-Q1,0.2
2005-Q2,0.8
2005-Q3,0.2
2005-Q4,1.6
2006-Q1,0.9
2006-Q2,0.5
2006-Q3,0.6
2006-Q4,1.5
2007-Q1,1.1
2007-Q2,1.0
2007-Q3,0.6
2007-Q4,-0.1
2008-Q1,2.1
2008-Q2,-0.2
2008-Q3,-0.7
2008-Q4,-2.5
2009-Q1,-1.1
2009-Q2,-0.5
2009-Q3,0.3
2009-Q4,0.3
2010-Q1,-0.4
2010-Q2,1.3
2010-Q3,1.2
2010-Q4,1.0
2011-Q1,1.0
2011-Q2,0.0
2011-Q3,0.6
2011-Q4,0.4
2012-Q1,0.4
2012-Q2,-0.3
2012-Q3,0.3
2012-Q4,-0.7
2013-Q1,-0.4
2013-Q2,0.5
2013-Q3,0.3
2013-Q4,0.1
2014-Q1,0.0
2014-Q2,0.5
2014-Q3,0.2
2014-Q4,0.4
2015-Q1,0.0
2015-Q2,0.6
2015-Q3,0.4
2015-Q4,0.4
2016-Q1,1.1
2016-Q2,-0.1
2016-Q3,0.5
2016-Q4,0.6
2017-Q1,1.0
2017-Q2,0.3
2017-Q3,0.6
2017-Q4,0.5
2018-Q1,0.6
2018-Q2,0.8
2018-Q3,0.4
2018-Q4,0.9
2019-Q1,1.1
2019-Q2,-0.6
2019-Q3,0.2
2019-Q4,-0.6
2020-Q1,-1.1
2020-Q2,-12.6
2020-Q3,11.5
2020-Q4,-1.5
2021-Q1,-1.0
2021-Q2,4.6
2021-Q3,3.1
2021-Q4,0.3
2022-Q1,0.3
2022-Q2,2.9
2022-Q3,0.0
2022-Q4,0.0
2023-Q1,-0.1
2023-Q2,-1.2
2023-Q3,-0.5
2023-Q4,-0.5
2024-Q1,0.1
2024-Q2,-0.2
2024-Q3,0.0
2024-Q4,0.5
2025-Q1,0.4
2025-Q2,0.1
2025-Q3,0.4
2025-Q4,0.2
2026-Q1,0.2
