date,cat_71_food_and_drink
2008-01-01,59
2008-02-01,58
2008-03-01,57
2008-04-01,60
2008-05-01,53
2008-06-01,55
2008-07-01,51
2008-08-01,50
2008-09-01,52
2008-10-01,55
2008-11-01,59
2008-12-01,58
2009-01-01,52
2009-02-01,52
2009-03-01,52
2009-04-01,48
2009-05-01,50
2009-06-01,49
2009-07-01,45
2009-08-01,47
2009-09-01,48
2009-10-01,50
2009-11-01,51
2009-12-01,52
2010-01-01,46
2010-02-01,46
2010-03-01,44
2010-04-01,42
2010-05-01,43
2010-06-01,41
2010-07-01,37
2010-08-01,41
2010-09-01,41
2010-10-01,43
2010-11-01,43
2010-12-01,45
2011-01-01,54
2011-02-01,52
2011-03-01,51
2011-04-01,51
2011-05-01,53
2011-06-01,51
2011-07-01,51
2011-08-01,49
2011-09-01,49
2011-10-01,56
2011-11-01,57
2011-12-01,61
2012-01-01,57
2012-02-01,55
2012-03-01,53
2012-04-01,53
2012-05-01,55
2012-06-01,55
2012-07-01,53
2012-08-01,54
2012-09-01,58
2012-10-01,61
2012-11-01,59
2012-12-01,66
2013-01-01,56
2013-02-01,59
2013-03-01,59
2013-04-01,53
2013-05-01,58
2013-06-01,56
2013-07-01,57
2013-08-01,54
2013-09-01,58
2013-10-01,60
2013-11-01,63
2013-12-01,66
2014-01-01,60
2014-02-01,61
2014-03-01,59
2014-04-01,61
2014-05-01,66
2014-06-01,56
2014-07-01,59
2014-08-01,63
2014-09-01,61
2014-10-01,64
2014-11-01,66
2014-12-01,72
2015-01-01,64
2015-02-01,61
2015-03-01,66
2015-04-01,62
2015-05-01,65
2015-06-01,61
2015-07-01,59
2015-08-01,61
2015-09-01,64
2015-10-01,65
2015-11-01,70
2015-12-01,73
2016-01-01,65
2016-02-01,68
2016-03-01,71
2016-04-01,64
2016-05-01,60
2016-06-01,63
2016-07-01,61
2016-08-01,63
2016-09-01,63
2016-10-01,71
2016-11-01,67
2016-12-01,74
2017-01-01,64
2017-02-01,66
2017-03-01,66
2017-04-01,67
2017-05-01,65
2017-06-01,65
2017-07-01,70
2017-08-01,68
2017-09-01,70
2017-10-01,73
2017-11-01,74
2017-12-01,80
2018-01-01,71
2018-02-01,72
2018-03-01,76
2018-04-01,66
2018-05-01,70
2018-06-01,71
2018-07-01,72
2018-08-01,71
2018-09-01,71
2018-10-01,73
2018-11-01,79
2018-12-01,87
2019-01-01,72
2019-02-01,77
2019-03-01,77
2019-04-01,78
2019-05-01,75
2019-06-01,69
2019-07-01,77
2019-08-01,80
2019-09-01,75
2019-10-01,75
2019-11-01,81
2019-12-01,94
2020-01-01,79
2020-02-01,79
2020-03-01,90
2020-04-01,100
2020-05-01,93
2020-06-01,91
2020-07-01,84
2020-08-01,84
2020-09-01,82
2020-10-01,86
2020-11-01,88
2020-12-01,97
2021-01-01,84
2021-02-01,83
2021-03-01,83
2021-04-01,87
2021-05-01,83
2021-06-01,78
2021-07-01,79
2021-08-01,83
2021-09-01,72
2021-10-01,79
2021-11-01,83
2021-12-01,84
2022-01-01,81
2022-02-01,79
2022-03-01,75
2022-04-01,79
2022-05-01,70
2022-06-01,73
2022-07-01,78
2022-08-01,76
2022-09-01,75
2022-10-01,74
2022-11-01,74
2022-12-01,89
2023-01-01,76
2023-02-01,78
2023-03-01,72
2023-04-01,78
2023-05-01,71
2023-06-01,75
2023-07-01,76
2023-08-01,78
2023-09-01,74
2023-10-01,80
2023-11-01,84
2023-12-01,89
2024-01-01,81
2024-02-01,83
2024-03-01,82
2024-04-01,76
2024-05-01,79
2024-06-01,75
2024-07-01,77
2024-08-01,79
2024-09-01,75
2024-10-01,80
2024-11-01,82
2024-12-01,95
2025-01-01,78
2025-02-01,75
2025-03-01,74
2025-04-01,71
2025-05-01,73
2025-06-01,70
2025-07-01,74
2025-08-01,73
2025-09-01,67
2025-10-01,73
2025-11-01,75
2025-12-01,82
2026-01-01,74
2026-02-01,74
2026-03-01,71
2026-04-01,69
2026-05-01,66
2026-06-01,66
2026-07-01,68
