date,kw_aktien
2008-01-01,39
2008-02-01,28
2008-03-01,25
2008-04-01,22
2008-05-01,23
2008-06-01,20
2008-07-01,21
2008-08-01,21
2008-09-01,29
2008-10-01,66
2008-11-01,35
2008-12-01,25
2009-01-01,24
2009-02-01,24
2009-03-01,27
2009-04-01,26
2009-05-01,27
2009-06-01,21
2009-07-01,21
2009-08-01,23
2009-09-01,27
2009-10-01,27
2009-11-01,23
2009-12-01,20
2010-01-01,23
2010-02-01,22
2010-03-01,19
2010-04-01,24
2010-05-01,26
2010-06-01,21
2010-07-01,18
2010-08-01,19
2010-09-01,19
2010-10-01,24
2010-11-01,28
2010-12-01,31
2011-01-01,27
2011-02-01,21
2011-03-01,23
2011-04-01,22
2011-05-01,18
2011-06-01,18
2011-07-01,18
2011-08-01,29
2011-09-01,21
2011-10-01,23
2011-11-01,21
2011-12-01,17
2012-01-01,19
2012-02-01,21
2012-03-01,19
2012-04-01,16
2012-05-01,20
2012-06-01,14
2012-07-01,13
2012-08-01,15
2012-09-01,15
2012-10-01,19
2012-11-01,18
2012-12-01,17
2013-01-01,23
2013-02-01,18
2013-03-01,17
2013-04-01,17
2013-05-01,17
2013-06-01,14
2013-07-01,15
2013-08-01,17
2013-09-01,23
2013-10-01,26
2013-11-01,22
2013-12-01,18
2014-01-01,24
2014-02-01,23
2014-03-01,20
2014-04-01,18
2014-05-01,18
2014-06-01,20
2014-07-01,19
2014-08-01,17
2014-09-01,20
2014-10-01,22
2014-11-01,22
2014-12-01,24
2015-01-01,27
2015-02-01,27
2015-03-01,23
2015-04-01,25
2015-05-01,20
2015-06-01,18
2015-07-01,20
2015-08-01,20
2015-09-01,22
2015-10-01,25
2015-11-01,24
2015-12-01,21
2016-01-01,23
2016-02-01,24
2016-03-01,22
2016-04-01,21
2016-05-01,18
2016-06-01,20
2016-07-01,20
2016-08-01,18
2016-09-01,20
2016-10-01,20
2016-11-01,23
2016-12-01,21
2017-01-01,26
2017-02-01,23
2017-03-01,22
2017-04-01,22
2017-05-01,23
2017-06-01,19
2017-07-01,18
2017-08-01,22
2017-09-01,22
2017-10-01,25
2017-11-01,29
2017-12-01,26
2018-01-01,34
2018-02-01,29
2018-03-01,22
2018-04-01,19
2018-05-01,20
2018-06-01,19
2018-07-01,19
2018-08-01,22
2018-09-01,20
2018-10-01,25
2018-11-01,23
2018-12-01,22
2019-01-01,25
2019-02-01,24
2019-03-01,24
2019-04-01,24
2019-05-01,24
2019-06-01,21
2019-07-01,24
2019-08-01,25
2019-09-01,23
2019-10-01,25
2019-11-01,28
2019-12-01,24
2020-01-01,34
2020-02-01,38
2020-03-01,100
2020-04-01,67
2020-05-01,44
2020-06-01,44
2020-07-01,38
2020-08-01,37
2020-09-01,36
2020-10-01,36
2020-11-01,50
2020-12-01,49
2021-01-01,75
2021-02-01,65
2021-03-01,54
2021-04-01,46
2021-05-01,40
2021-06-01,35
2021-07-01,35
2021-08-01,36
2021-09-01,38
2021-10-01,37
2021-11-01,47
2021-12-01,39
2022-01-01,49
2022-02-01,54
2022-03-01,52
2022-04-01,36
2022-05-01,32
2022-06-01,31
2022-07-01,31
2022-08-01,32
2022-09-01,31
2022-10-01,28
2022-11-01,30
2022-12-01,27
2023-01-01,33
2023-02-01,33
2023-03-01,33
2023-04-01,27
2023-05-01,25
2023-06-01,25
2023-07-01,25
2023-08-01,24
2023-09-01,24
2023-10-01,25
2023-11-01,27
2023-12-01,30
2024-01-01,33
2024-02-01,33
2024-03-01,34
2024-04-01,29
2024-05-01,27
2024-06-01,25
2024-07-01,25
2024-08-01,30
2024-09-01,25
2024-10-01,30
2024-11-01,37
2024-12-01,36
2025-01-01,38
2025-02-01,39
2025-03-01,47
2025-04-01,45
2025-05-01,34
2025-06-01,32
2025-07-01,31
2025-08-01,33
2025-09-01,33
2025-10-01,40
2025-11-01,33
2025-12-01,30
2026-01-01,40
2026-02-01,39
2026-03-01,37
2026-04-01,32
2026-05-01,32
2026-06-01,34
2026-07-01,30
