date,kw_auto_kaufen
2008-01-01,23
2008-02-01,22
2008-03-01,19
2008-04-01,22
2008-05-01,23
2008-06-01,25
2008-07-01,25
2008-08-01,24
2008-09-01,25
2008-10-01,18
2008-11-01,20
2008-12-01,20
2009-01-01,25
2009-02-01,28
2009-03-01,30
2009-04-01,29
2009-05-01,24
2009-06-01,21
2009-07-01,28
2009-08-01,31
2009-09-01,24
2009-10-01,25
2009-11-01,26
2009-12-01,20
2010-01-01,26
2010-02-01,29
2010-03-01,30
2010-04-01,30
2010-05-01,28
2010-06-01,29
2010-07-01,34
2010-08-01,31
2010-09-01,31
2010-10-01,27
2010-11-01,27
2010-12-01,27
2011-01-01,33
2011-02-01,30
2011-03-01,29
2011-04-01,38
2011-05-01,34
2011-06-01,35
2011-07-01,36
2011-08-01,39
2011-09-01,39
2011-10-01,35
2011-11-01,33
2011-12-01,34
2012-01-01,38
2012-02-01,39
2012-03-01,38
2012-04-01,40
2012-05-01,41
2012-06-01,34
2012-07-01,42
2012-08-01,38
2012-09-01,37
2012-10-01,36
2012-11-01,34
2012-12-01,31
2013-01-01,37
2013-02-01,38
2013-03-01,40
2013-04-01,39
2013-05-01,41
2013-06-01,38
2013-07-01,45
2013-08-01,45
2013-09-01,45
2013-10-01,42
2013-11-01,45
2013-12-01,37
2014-01-01,40
2014-02-01,45
2014-03-01,48
2014-04-01,44
2014-05-01,48
2014-06-01,39
2014-07-01,47
2014-08-01,49
2014-09-01,49
2014-10-01,44
2014-11-01,39
2014-12-01,42
2015-01-01,50
2015-02-01,53
2015-03-01,49
2015-04-01,55
2015-05-01,52
2015-06-01,56
2015-07-01,68
2015-08-01,61
2015-09-01,64
2015-10-01,65
2015-11-01,64
2015-12-01,52
2016-01-01,64
2016-02-01,72
2016-03-01,67
2016-04-01,69
2016-05-01,69
2016-06-01,62
2016-07-01,62
2016-08-01,63
2016-09-01,61
2016-10-01,60
2016-11-01,53
2016-12-01,50
2017-01-01,72
2017-02-01,73
2017-03-01,67
2017-04-01,68
2017-05-01,68
2017-06-01,64
2017-07-01,76
2017-08-01,92
2017-09-01,87
2017-10-01,81
2017-11-01,74
2017-12-01,62
2018-01-01,82
2018-02-01,84
2018-03-01,87
2018-04-01,88
2018-05-01,89
2018-06-01,87
2018-07-01,81
2018-08-01,80
2018-09-01,82
2018-10-01,83
2018-11-01,67
2018-12-01,61
2019-01-01,78
2019-02-01,83
2019-03-01,83
2019-04-01,90
2019-05-01,84
2019-06-01,82
2019-07-01,91
2019-08-01,98
2019-09-01,90
2019-10-01,81
2019-11-01,89
2019-12-01,81
2020-01-01,91
2020-02-01,84
2020-03-01,61
2020-04-01,66
2020-05-01,87
2020-06-01,92
2020-07-01,93
2020-08-01,93
2020-09-01,94
2020-10-01,92
2020-11-01,77
2020-12-01,76
2021-01-01,100
2021-02-01,96
2021-03-01,96
2021-04-01,96
2021-05-01,97
2021-06-01,93
2021-07-01,89
2021-08-01,92
2021-09-01,94
2021-10-01,85
2021-11-01,72
2021-12-01,77
2022-01-01,96
2022-02-01,89
2022-03-01,86
2022-04-01,81
2022-05-01,79
2022-06-01,76
2022-07-01,81
2022-08-01,75
2022-09-01,72
2022-10-01,74
2022-11-01,70
2022-12-01,67
2023-01-01,79
2023-02-01,78
2023-03-01,80
2023-04-01,77
2023-05-01,81
2023-06-01,80
2023-07-01,82
2023-08-01,78
2023-09-01,75
2023-10-01,81
2023-11-01,74
2023-12-01,70
2024-01-01,80
2024-02-01,72
2024-03-01,75
2024-04-01,75
2024-05-01,74
2024-06-01,71
2024-07-01,69
2024-08-01,73
2024-09-01,68
2024-10-01,72
2024-11-01,68
2024-12-01,62
2025-01-01,75
2025-02-01,81
2025-03-01,76
2025-04-01,82
2025-05-01,76
2025-06-01,74
2025-07-01,80
2025-08-01,81
2025-09-01,84
2025-10-01,79
2025-11-01,74
2025-12-01,74
2026-01-01,89
2026-02-01,91
2026-03-01,98
2026-04-01,97
2026-05-01,81
2026-06-01,79
2026-07-01,87
