date,kw_benzinpreis
2008-01-01,7
2008-02-01,8
2008-03-01,16
2008-04-01,12
2008-05-01,31
2008-06-01,27
2008-07-01,24
2008-08-01,18
2008-09-01,13
2008-10-01,13
2008-11-01,18
2008-12-01,13
2009-01-01,10
2009-02-01,9
2009-03-01,8
2009-04-01,9
2009-05-01,6
2009-06-01,11
2009-07-01,10
2009-08-01,6
2009-09-01,4
2009-10-01,3
2009-11-01,0
2009-12-01,4
2010-01-01,4
2010-02-01,0
2010-03-01,7
2010-04-01,7
2010-05-01,9
2010-06-01,7
2010-07-01,6
2010-08-01,7
2010-09-01,5
2010-10-01,4
2010-11-01,3
2010-12-01,8
2011-01-01,9
2011-02-01,12
2011-03-01,21
2011-04-01,16
2011-05-01,14
2011-06-01,10
2011-07-01,10
2011-08-01,19
2011-09-01,10
2011-10-01,5
2011-11-01,9
2011-12-01,6
2012-01-01,6
2012-02-01,12
2012-03-01,14
2012-04-01,20
2012-05-01,10
2012-06-01,9
2012-07-01,9
2012-08-01,13
2012-09-01,9
2012-10-01,7
2012-11-01,5
2012-12-01,5
2013-01-01,5
2013-02-01,4
2013-03-01,6
2013-04-01,6
2013-05-01,7
2013-06-01,6
2013-07-01,7
2013-08-01,8
2013-09-01,6
2013-10-01,6
2013-11-01,5
2013-12-01,4
2014-01-01,5
2014-02-01,4
2014-03-01,4
2014-04-01,4
2014-05-01,6
2014-06-01,7
2014-07-01,7
2014-08-01,8
2014-09-01,5
2014-10-01,8
2014-11-01,8
2014-12-01,16
2015-01-01,18
2015-02-01,8
2015-03-01,8
2015-04-01,10
2015-05-01,8
2015-06-01,9
2015-07-01,13
2015-08-01,14
2015-09-01,8
2015-10-01,7
2015-11-01,7
2015-12-01,9
2016-01-01,14
2016-02-01,12
2016-03-01,9
2016-04-01,8
2016-05-01,9
2016-06-01,7
2016-07-01,8
2016-08-01,9
2016-09-01,7
2016-10-01,5
2016-11-01,5
2016-12-01,7
2017-01-01,6
2017-02-01,7
2017-03-01,6
2017-04-01,6
2017-05-01,7
2017-06-01,10
2017-07-01,9
2017-08-01,8
2017-09-01,7
2017-10-01,7
2017-11-01,8
2017-12-01,7
2018-01-01,7
2018-02-01,7
2018-03-01,7
2018-04-01,11
2018-05-01,14
2018-06-01,10
2018-07-01,10
2018-08-01,13
2018-09-01,11
2018-10-01,12
2018-11-01,13
2018-12-01,11
2019-01-01,9
2019-02-01,9
2019-03-01,8
2019-04-01,13
2019-05-01,12
2019-06-01,13
2019-07-01,14
2019-08-01,12
2019-09-01,15
2019-10-01,10
2019-11-01,8
2019-12-01,8
2020-01-01,10
2020-02-01,9
2020-03-01,29
2020-04-01,17
2020-05-01,10
2020-06-01,12
2020-07-01,11
2020-08-01,11
2020-09-01,7
2020-10-01,6
2020-11-01,6
2020-12-01,6
2021-01-01,7
2021-02-01,7
2021-03-01,8
2021-04-01,8
2021-05-01,9
2021-06-01,11
2021-07-01,13
2021-08-01,14
2021-09-01,12
2021-10-01,20
2021-11-01,11
2021-12-01,7
2022-01-01,10
2022-02-01,20
2022-03-01,100
2022-04-01,25
2022-05-01,29
2022-06-01,56
2022-07-01,41
2022-08-01,34
2022-09-01,30
2022-10-01,26
2022-11-01,18
2022-12-01,19
2023-01-01,15
2023-02-01,14
2023-03-01,14
2023-04-01,15
2023-05-01,16
2023-06-01,16
2023-07-01,15
2023-08-01,19
2023-09-01,17
2023-10-01,12
2023-11-01,11
2023-12-01,13
2024-01-01,10
2024-02-01,10
2024-03-01,8
2024-04-01,10
2024-05-01,10
2024-06-01,8
2024-07-01,8
2024-08-01,10
2024-09-01,9
2024-10-01,6
2024-11-01,8
2024-12-01,8
2025-01-01,8
2025-02-01,9
2025-03-01,7
2025-04-01,9
2025-05-01,8
2025-06-01,12
2025-07-01,10
2025-08-01,11
2025-09-01,8
2025-10-01,8
2025-11-01,9
2025-12-01,8
2026-01-01,8
2026-02-01,7
2026-03-01,87
2026-04-01,47
2026-05-01,23
2026-06-01,16
2026-07-01,23
