date,kw_flug_buchen
2008-01-01,24
2008-02-01,23
2008-03-01,13
2008-04-01,20
2008-05-01,20
2008-06-01,21
2008-07-01,18
2008-08-01,30
2008-09-01,12
2008-10-01,19
2008-11-01,12
2008-12-01,14
2009-01-01,22
2009-02-01,17
2009-03-01,17
2009-04-01,18
2009-05-01,18
2009-06-01,27
2009-07-01,23
2009-08-01,20
2009-09-01,15
2009-10-01,15
2009-11-01,16
2009-12-01,23
2010-01-01,24
2010-02-01,22
2010-03-01,20
2010-04-01,20
2010-05-01,18
2010-06-01,21
2010-07-01,21
2010-08-01,23
2010-09-01,18
2010-10-01,16
2010-11-01,22
2010-12-01,19
2011-01-01,27
2011-02-01,18
2011-03-01,21
2011-04-01,20
2011-05-01,27
2011-06-01,25
2011-07-01,30
2011-08-01,28
2011-09-01,27
2011-10-01,30
2011-11-01,24
2011-12-01,26
2012-01-01,38
2012-02-01,30
2012-03-01,29
2012-04-01,21
2012-05-01,27
2012-06-01,25
2012-07-01,34
2012-08-01,30
2012-09-01,26
2012-10-01,19
2012-11-01,20
2012-12-01,20
2013-01-01,33
2013-02-01,31
2013-03-01,31
2013-04-01,29
2013-05-01,29
2013-06-01,33
2013-07-01,40
2013-08-01,36
2013-09-01,34
2013-10-01,28
2013-11-01,28
2013-12-01,29
2014-01-01,44
2014-02-01,39
2014-03-01,36
2014-04-01,35
2014-05-01,34
2014-06-01,32
2014-07-01,41
2014-08-01,38
2014-09-01,33
2014-10-01,30
2014-11-01,31
2014-12-01,32
2015-01-01,48
2015-02-01,44
2015-03-01,42
2015-04-01,39
2015-05-01,32
2015-06-01,43
2015-07-01,44
2015-08-01,46
2015-09-01,35
2015-10-01,32
2015-11-01,28
2015-12-01,34
2016-01-01,39
2016-02-01,40
2016-03-01,38
2016-04-01,35
2016-05-01,42
2016-06-01,40
2016-07-01,45
2016-08-01,44
2016-09-01,43
2016-10-01,38
2016-11-01,35
2016-12-01,34
2017-01-01,52
2017-02-01,52
2017-03-01,49
2017-04-01,46
2017-05-01,46
2017-06-01,52
2017-07-01,57
2017-08-01,56
2017-09-01,45
2017-10-01,44
2017-11-01,44
2017-12-01,44
2018-01-01,69
2018-02-01,57
2018-03-01,55
2018-04-01,56
2018-05-01,53
2018-06-01,57
2018-07-01,70
2018-08-01,61
2018-09-01,55
2018-10-01,57
2018-11-01,47
2018-12-01,49
2019-01-01,72
2019-02-01,65
2019-03-01,62
2019-04-01,52
2019-05-01,55
2019-06-01,60
2019-07-01,76
2019-08-01,55
2019-09-01,55
2019-10-01,55
2019-11-01,47
2019-12-01,52
2020-01-01,70
2020-02-01,56
2020-03-01,29
2020-04-01,9
2020-05-01,13
2020-06-01,25
2020-07-01,20
2020-08-01,22
2020-09-01,17
2020-10-01,15
2020-11-01,13
2020-12-01,16
2021-01-01,17
2021-02-01,13
2021-03-01,15
2021-04-01,21
2021-05-01,42
2021-06-01,68
2021-07-01,63
2021-08-01,52
2021-09-01,51
2021-10-01,51
2021-11-01,35
2021-12-01,40
2022-01-01,63
2022-02-01,82
2022-03-01,82
2022-04-01,100
2022-05-01,97
2022-06-01,89
2022-07-01,81
2022-08-01,74
2022-09-01,70
2022-10-01,65
2022-11-01,65
2022-12-01,62
2023-01-01,94
2023-02-01,88
2023-03-01,87
2023-04-01,80
2023-05-01,77
2023-06-01,80
2023-07-01,84
2023-08-01,77
2023-09-01,66
2023-10-01,58
2023-11-01,59
2023-12-01,56
2024-01-01,88
2024-02-01,89
2024-03-01,67
2024-04-01,61
2024-05-01,68
2024-06-01,60
2024-07-01,71
2024-08-01,64
2024-09-01,60
2024-10-01,56
2024-11-01,61
2024-12-01,59
2025-01-01,93
2025-02-01,76
2025-03-01,75
2025-04-01,76
2025-05-01,75
2025-06-01,71
2025-07-01,80
2025-08-01,80
2025-09-01,75
2025-10-01,63
2025-11-01,62
2025-12-01,59
2026-01-01,88
2026-02-01,89
2026-03-01,91
2026-04-01,77
2026-05-01,76
2026-06-01,75
2026-07-01,84
