date,kw_gebrauchtwagen
2008-01-01,55
2008-02-01,59
2008-03-01,58
2008-04-01,51
2008-05-01,50
2008-06-01,48
2008-07-01,56
2008-08-01,56
2008-09-01,52
2008-10-01,47
2008-11-01,47
2008-12-01,44
2009-01-01,59
2009-02-01,62
2009-03-01,60
2009-04-01,63
2009-05-01,58
2009-06-01,58
2009-07-01,66
2009-08-01,67
2009-09-01,65
2009-10-01,58
2009-11-01,51
2009-12-01,47
2010-01-01,55
2010-02-01,57
2010-03-01,55
2010-04-01,56
2010-05-01,53
2010-06-01,51
2010-07-01,66
2010-08-01,58
2010-09-01,56
2010-10-01,48
2010-11-01,49
2010-12-01,45
2011-01-01,61
2011-02-01,61
2011-03-01,55
2011-04-01,49
2011-05-01,48
2011-06-01,44
2011-07-01,47
2011-08-01,61
2011-09-01,62
2011-10-01,65
2011-11-01,74
2011-12-01,69
2012-01-01,78
2012-02-01,71
2012-03-01,74
2012-04-01,66
2012-05-01,61
2012-06-01,57
2012-07-01,56
2012-08-01,65
2012-09-01,63
2012-10-01,61
2012-11-01,57
2012-12-01,55
2013-01-01,74
2013-02-01,70
2013-03-01,73
2013-04-01,65
2013-05-01,61
2013-06-01,59
2013-07-01,67
2013-08-01,65
2013-09-01,61
2013-10-01,62
2013-11-01,86
2013-12-01,80
2014-01-01,97
2014-02-01,93
2014-03-01,96
2014-04-01,87
2014-05-01,86
2014-06-01,83
2014-07-01,92
2014-08-01,93
2014-09-01,93
2014-10-01,85
2014-11-01,87
2014-12-01,76
2015-01-01,100
2015-02-01,100
2015-03-01,96
2015-04-01,89
2015-05-01,87
2015-06-01,90
2015-07-01,92
2015-08-01,93
2015-09-01,88
2015-10-01,85
2015-11-01,84
2015-12-01,73
2016-01-01,89
2016-02-01,96
2016-03-01,94
2016-04-01,84
2016-05-01,75
2016-06-01,75
2016-07-01,77
2016-08-01,80
2016-09-01,80
2016-10-01,79
2016-11-01,74
2016-12-01,71
2017-01-01,83
2017-02-01,88
2017-03-01,85
2017-04-01,81
2017-05-01,77
2017-06-01,76
2017-07-01,74
2017-08-01,77
2017-09-01,75
2017-10-01,73
2017-11-01,70
2017-12-01,63
2018-01-01,75
2018-02-01,77
2018-03-01,79
2018-04-01,66
2018-05-01,66
2018-06-01,63
2018-07-01,60
2018-08-01,62
2018-09-01,61
2018-10-01,58
2018-11-01,56
2018-12-01,52
2019-01-01,61
2019-02-01,60
2019-03-01,59
2019-04-01,54
2019-05-01,53
2019-06-01,50
2019-07-01,52
2019-08-01,51
2019-09-01,48
2019-10-01,48
2019-11-01,42
2019-12-01,41
2020-01-01,52
2020-02-01,54
2020-03-01,35
2020-04-01,34
2020-05-01,52
2020-06-01,57
2020-07-01,51
2020-08-01,49
2020-09-01,52
2020-10-01,48
2020-11-01,42
2020-12-01,40
2021-01-01,48
2021-02-01,50
2021-03-01,52
2021-04-01,49
2021-05-01,44
2021-06-01,40
2021-07-01,42
2021-08-01,44
2021-09-01,43
2021-10-01,41
2021-11-01,34
2021-12-01,32
2022-01-01,41
2022-02-01,39
2022-03-01,33
2022-04-01,35
2022-05-01,30
2022-06-01,30
2022-07-01,32
2022-08-01,31
2022-09-01,29
2022-10-01,28
2022-11-01,29
2022-12-01,25
2023-01-01,31
2023-02-01,34
2023-03-01,32
2023-04-01,30
2023-05-01,28
2023-06-01,27
2023-07-01,27
2023-08-01,28
2023-09-01,27
2023-10-01,27
2023-11-01,28
2023-12-01,24
2024-01-01,28
2024-02-01,25
2024-03-01,23
2024-04-01,22
2024-05-01,21
2024-06-01,19
2024-07-01,21
2024-08-01,20
2024-09-01,20
2024-10-01,22
2024-11-01,20
2024-12-01,19
2025-01-01,23
2025-02-01,23
2025-03-01,24
2025-04-01,23
2025-05-01,22
2025-06-01,20
2025-07-01,21
2025-08-01,21
2025-09-01,21
2025-10-01,18
2025-11-01,20
2025-12-01,18
2026-01-01,21
2026-02-01,23
2026-03-01,22
2026-04-01,20
2026-05-01,15
2026-06-01,16
2026-07-01,18
