date,kw_inflation
2008-01-01,32
2008-02-01,30
2008-03-01,28
2008-04-01,32
2008-05-01,25
2008-06-01,33
2008-07-01,39
2008-08-01,29
2008-09-01,29
2008-10-01,38
2008-11-01,33
2008-12-01,25
2009-01-01,30
2009-02-01,38
2009-03-01,41
2009-04-01,33
2009-05-01,27
2009-06-01,26
2009-07-01,19
2009-08-01,18
2009-09-01,22
2009-10-01,20
2009-11-01,27
2009-12-01,22
2010-01-01,25
2010-02-01,20
2010-03-01,22
2010-04-01,23
2010-05-01,36
2010-06-01,26
2010-07-01,13
2010-08-01,16
2010-09-01,18
2010-10-01,23
2010-11-01,25
2010-12-01,19
2011-01-01,31
2011-02-01,30
2011-03-01,27
2011-04-01,24
2011-05-01,27
2011-06-01,26
2011-07-01,18
2011-08-01,27
2011-09-01,27
2011-10-01,37
2011-11-01,37
2011-12-01,38
2012-01-01,34
2012-02-01,26
2012-03-01,24
2012-04-01,26
2012-05-01,23
2012-06-01,24
2012-07-01,18
2012-08-01,18
2012-09-01,24
2012-10-01,25
2012-11-01,24
2012-12-01,24
2013-01-01,26
2013-02-01,18
2013-03-01,21
2013-04-01,20
2013-05-01,18
2013-06-01,20
2013-07-01,13
2013-08-01,13
2013-09-01,19
2013-10-01,23
2013-11-01,32
2013-12-01,24
2014-01-01,25
2014-02-01,21
2014-03-01,21
2014-04-01,20
2014-05-01,23
2014-06-01,25
2014-07-01,14
2014-08-01,15
2014-09-01,19
2014-10-01,24
2014-11-01,26
2014-12-01,21
2015-01-01,33
2015-02-01,19
2015-03-01,21
2015-04-01,21
2015-05-01,21
2015-06-01,22
2015-07-01,14
2015-08-01,13
2015-09-01,17
2015-10-01,20
2015-11-01,20
2015-12-01,20
2016-01-01,22
2016-02-01,18
2016-03-01,17
2016-04-01,19
2016-05-01,16
2016-06-01,18
2016-07-01,11
2016-08-01,12
2016-09-01,15
2016-10-01,19
2016-11-01,25
2016-12-01,17
2017-01-01,23
2017-02-01,20
2017-03-01,21
2017-04-01,20
2017-05-01,19
2017-06-01,16
2017-07-01,14
2017-08-01,12
2017-09-01,16
2017-10-01,20
2017-11-01,24
2017-12-01,18
2018-01-01,23
2018-02-01,16
2018-03-01,18
2018-04-01,20
2018-05-01,19
2018-06-01,17
2018-07-01,15
2018-08-01,16
2018-09-01,19
2018-10-01,19
2018-11-01,24
2018-12-01,18
2019-01-01,21
2019-02-01,17
2019-03-01,20
2019-04-01,17
2019-05-01,17
2019-06-01,16
2019-07-01,12
2019-08-01,13
2019-09-01,17
2019-10-01,19
2019-11-01,22
2019-12-01,19
2020-01-01,20
2020-02-01,17
2020-03-01,34
2020-04-01,37
2020-05-01,28
2020-06-01,23
2020-07-01,19
2020-08-01,19
2020-09-01,22
2020-10-01,22
2020-11-01,26
2020-12-01,29
2021-01-01,35
2021-02-01,32
2021-03-01,38
2021-04-01,29
2021-05-01,32
2021-06-01,32
2021-07-01,24
2021-08-01,28
2021-09-01,34
2021-10-01,46
2021-11-01,50
2021-12-01,51
2022-01-01,69
2022-02-01,66
2022-03-01,79
2022-04-01,94
2022-05-01,88
2022-06-01,100
2022-07-01,94
2022-08-01,83
2022-09-01,93
2022-10-01,91
2022-11-01,88
2022-12-01,72
2023-01-01,86
2023-02-01,80
2023-03-01,82
2023-04-01,63
2023-05-01,80
2023-06-01,73
2023-07-01,62
2023-08-01,62
2023-09-01,83
2023-10-01,78
2023-11-01,96
2023-12-01,82
2024-01-01,88
2024-02-01,70
2024-03-01,60
2024-04-01,65
2024-05-01,57
2024-06-01,50
2024-07-01,49
2024-08-01,50
2024-09-01,65
2024-10-01,83
2024-11-01,72
2024-12-01,55
2025-01-01,63
2025-02-01,53
2025-03-01,51
2025-04-01,50
2025-05-01,47
2025-06-01,39
2025-07-01,41
2025-08-01,53
2025-09-01,89
2025-10-01,66
2025-11-01,94
2025-12-01,99
2026-01-01,94
2026-02-01,83
2026-03-01,99
2026-04-01,94
2026-05-01,70
2026-06-01,57
2026-07-01,49
