date,kw_jobsuche
2008-01-01,93
2008-02-01,90
2008-03-01,69
2008-04-01,74
2008-05-01,62
2008-06-01,66
2008-07-01,70
2008-08-01,70
2008-09-01,87
2008-10-01,64
2008-11-01,67
2008-12-01,41
2009-01-01,75
2009-02-01,73
2009-03-01,70
2009-04-01,83
2009-05-01,87
2009-06-01,83
2009-07-01,86
2009-08-01,88
2009-09-01,95
2009-10-01,89
2009-11-01,87
2009-12-01,59
2010-01-01,94
2010-02-01,100
2010-03-01,94
2010-04-01,79
2010-05-01,71
2010-06-01,72
2010-07-01,73
2010-08-01,68
2010-09-01,67
2010-10-01,59
2010-11-01,55
2010-12-01,41
2011-01-01,56
2011-02-01,61
2011-03-01,52
2011-04-01,51
2011-05-01,51
2011-06-01,44
2011-07-01,43
2011-08-01,41
2011-09-01,52
2011-10-01,46
2011-11-01,47
2011-12-01,36
2012-01-01,47
2012-02-01,51
2012-03-01,46
2012-04-01,46
2012-05-01,40
2012-06-01,39
2012-07-01,47
2012-08-01,50
2012-09-01,58
2012-10-01,57
2012-11-01,50
2012-12-01,35
2013-01-01,56
2013-02-01,60
2013-03-01,58
2013-04-01,62
2013-05-01,54
2013-06-01,57
2013-07-01,57
2013-08-01,62
2013-09-01,74
2013-10-01,67
2013-11-01,57
2013-12-01,46
2014-01-01,63
2014-02-01,63
2014-03-01,65
2014-04-01,55
2014-05-01,53
2014-06-01,46
2014-07-01,42
2014-08-01,41
2014-09-01,50
2014-10-01,47
2014-11-01,42
2014-12-01,28
2015-01-01,46
2015-02-01,45
2015-03-01,44
2015-04-01,38
2015-05-01,31
2015-06-01,37
2015-07-01,31
2015-08-01,36
2015-09-01,43
2015-10-01,39
2015-11-01,35
2015-12-01,25
2016-01-01,32
2016-02-01,32
2016-03-01,31
2016-04-01,31
2016-05-01,29
2016-06-01,26
2016-07-01,24
2016-08-01,27
2016-09-01,30
2016-10-01,27
2016-11-01,24
2016-12-01,19
2017-01-01,25
2017-02-01,28
2017-03-01,24
2017-04-01,20
2017-05-01,23
2017-06-01,21
2017-07-01,20
2017-08-01,24
2017-09-01,26
2017-10-01,24
2017-11-01,22
2017-12-01,16
2018-01-01,26
2018-02-01,23
2018-03-01,21
2018-04-01,19
2018-05-01,18
2018-06-01,17
2018-07-01,17
2018-08-01,16
2018-09-01,19
2018-10-01,18
2018-11-01,17
2018-12-01,14
2019-01-01,19
2019-02-01,19
2019-03-01,17
2019-04-01,15
2019-05-01,16
2019-06-01,14
2019-07-01,15
2019-08-01,17
2019-09-01,19
2019-10-01,17
2019-11-01,16
2019-12-01,14
2020-01-01,22
2020-02-01,17
2020-03-01,13
2020-04-01,12
2020-05-01,15
2020-06-01,18
2020-07-01,16
2020-08-01,15
2020-09-01,17
2020-10-01,14
2020-11-01,12
2020-12-01,10
2021-01-01,14
2021-02-01,14
2021-03-01,14
2021-04-01,14
2021-05-01,13
2021-06-01,12
2021-07-01,11
2021-08-01,12
2021-09-01,14
2021-10-01,12
2021-11-01,10
2021-12-01,8
2022-01-01,13
2022-02-01,13
2022-03-01,12
2022-04-01,13
2022-05-01,10
2022-06-01,10
2022-07-01,9
2022-08-01,11
2022-09-01,11
2022-10-01,11
2022-11-01,11
2022-12-01,9
2023-01-01,12
2023-02-01,13
2023-03-01,11
2023-04-01,9
2023-05-01,10
2023-06-01,9
2023-07-01,9
2023-08-01,10
2023-09-01,11
2023-10-01,10
2023-11-01,11
2023-12-01,8
2024-01-01,14
2024-02-01,11
2024-03-01,10
2024-04-01,12
2024-05-01,10
2024-06-01,9
2024-07-01,11
2024-08-01,10
2024-09-01,12
2024-10-01,12
2024-11-01,11
2024-12-01,10
2025-01-01,14
2025-02-01,14
2025-03-01,14
2025-04-01,12
2025-05-01,11
2025-06-01,9
2025-07-01,10
2025-08-01,10
2025-09-01,13
2025-10-01,13
2025-11-01,11
2025-12-01,9
2026-01-01,13
2026-02-01,15
2026-03-01,13
2026-04-01,10
2026-05-01,9
2026-06-01,10
2026-07-01,10
