date,kw_kino
2008-01-01,61
2008-02-01,78
2008-03-01,68
2008-04-01,44
2008-05-01,48
2008-06-01,45
2008-07-01,76
2008-08-01,79
2008-09-01,54
2008-10-01,62
2008-11-01,70
2008-12-01,81
2009-01-01,80
2009-02-01,78
2009-03-01,75
2009-04-01,54
2009-05-01,66
2009-06-01,66
2009-07-01,100
2009-08-01,77
2009-09-01,76
2009-10-01,77
2009-11-01,84
2009-12-01,93
2010-01-01,90
2010-02-01,82
2010-03-01,70
2010-04-01,56
2010-05-01,66
2010-06-01,46
2010-07-01,81
2010-08-01,94
2010-09-01,72
2010-10-01,81
2010-11-01,77
2010-12-01,69
2011-01-01,78
2011-02-01,76
2011-03-01,64
2011-04-01,69
2011-05-01,66
2011-06-01,76
2011-07-01,88
2011-08-01,71
2011-09-01,55
2011-10-01,60
2011-11-01,69
2011-12-01,76
2012-01-01,69
2012-02-01,70
2012-03-01,56
2012-04-01,66
2012-05-01,57
2012-06-01,47
2012-07-01,78
2012-08-01,75
2012-09-01,53
2012-10-01,61
2012-11-01,79
2012-12-01,67
2013-01-01,65
2013-02-01,65
2013-03-01,64
2013-04-01,47
2013-05-01,65
2013-06-01,48
2013-07-01,58
2013-08-01,73
2013-09-01,49
2013-10-01,55
2013-11-01,68
2013-12-01,68
2014-01-01,61
2014-02-01,60
2014-03-01,53
2014-04-01,53
2014-05-01,51
2014-06-01,36
2014-07-01,50
2014-08-01,67
2014-09-01,49
2014-10-01,50
2014-11-01,60
2014-12-01,68
2015-01-01,65
2015-02-01,70
2015-03-01,62
2015-04-01,55
2015-05-01,53
2015-06-01,47
2015-07-01,63
2015-08-01,65
2015-09-01,58
2015-10-01,67
2015-11-01,68
2015-12-01,71
2016-01-01,67
2016-02-01,64
2016-03-01,54
2016-04-01,42
2016-05-01,43
2016-06-01,36
2016-07-01,57
2016-08-01,60
2016-09-01,48
2016-10-01,63
2016-11-01,52
2016-12-01,61
2017-01-01,60
2017-02-01,73
2017-03-01,53
2017-04-01,57
2017-05-01,39
2017-06-01,42
2017-07-01,53
2017-08-01,56
2017-09-01,52
2017-10-01,60
2017-11-01,55
2017-12-01,59
2018-01-01,54
2018-02-01,60
2018-03-01,56
2018-04-01,35
2018-05-01,37
2018-06-01,37
2018-07-01,53
2018-08-01,58
2018-09-01,45
2018-10-01,55
2018-11-01,56
2018-12-01,60
2019-01-01,52
2019-02-01,57
2019-03-01,48
2019-04-01,53
2019-05-01,48
2019-06-01,35
2019-07-01,59
2019-08-01,63
2019-09-01,49
2019-10-01,62
2019-11-01,67
2019-12-01,63
2020-01-01,55
2020-02-01,60
2020-03-01,20
2020-04-01,5
2020-05-01,9
2020-06-01,17
2020-07-01,21
2020-08-01,32
2020-09-01,25
2020-10-01,27
2020-11-01,5
2020-12-01,4
2021-01-01,3
2021-02-01,3
2021-03-01,3
2021-04-01,3
2021-05-01,12
2021-06-01,18
2021-07-01,43
2021-08-01,52
2021-09-01,36
2021-10-01,51
2021-11-01,23
2021-12-01,27
2022-01-01,36
2022-02-01,37
2022-03-01,34
2022-04-01,41
2022-05-01,32
2022-06-01,33
2022-07-01,45
2022-08-01,45
2022-09-01,39
2022-10-01,50
2022-11-01,37
2022-12-01,51
2023-01-01,53
2023-02-01,51
2023-03-01,47
2023-04-01,53
2023-05-01,38
2023-06-01,33
2023-07-01,60
2023-08-01,64
2023-09-01,40
2023-10-01,51
2023-11-01,47
2023-12-01,45
2024-01-01,50
2024-02-01,57
2024-03-01,48
2024-04-01,34
2024-05-01,37
2024-06-01,34
2024-07-01,42
2024-08-01,46
2024-09-01,37
2024-10-01,42
2024-11-01,41
2024-12-01,45
2025-01-01,42
2025-02-01,42
2025-03-01,36
2025-04-01,36
2025-05-01,35
2025-06-01,31
2025-07-01,46
2025-08-01,49
2025-09-01,40
2025-10-01,40
2025-11-01,40
2025-12-01,52
2026-01-01,49
2026-02-01,45
2026-03-01,40
2026-04-01,36
2026-05-01,36
2026-06-01,30
2026-07-01,46
