date,kw_konkurs
2008-01-01,65
2008-02-01,65
2008-03-01,59
2008-04-01,65
2008-05-01,55
2008-06-01,67
2008-07-01,62
2008-08-01,53
2008-09-01,60
2008-10-01,74
2008-11-01,68
2008-12-01,69
2009-01-01,81
2009-02-01,99
2009-03-01,100
2009-04-01,92
2009-05-01,81
2009-06-01,76
2009-07-01,89
2009-08-01,75
2009-09-01,79
2009-10-01,68
2009-11-01,86
2009-12-01,76
2010-01-01,79
2010-02-01,92
2010-03-01,80
2010-04-01,73
2010-05-01,69
2010-06-01,62
2010-07-01,70
2010-08-01,73
2010-09-01,70
2010-10-01,68
2010-11-01,66
2010-12-01,62
2011-01-01,67
2011-02-01,65
2011-03-01,60
2011-04-01,58
2011-05-01,61
2011-06-01,55
2011-07-01,61
2011-08-01,56
2011-09-01,56
2011-10-01,53
2011-11-01,61
2011-12-01,56
2012-01-01,63
2012-02-01,57
2012-03-01,57
2012-04-01,56
2012-05-01,55
2012-06-01,58
2012-07-01,71
2012-08-01,73
2012-09-01,68
2012-10-01,70
2012-11-01,62
2012-12-01,62
2013-01-01,70
2013-02-01,65
2013-03-01,58
2013-04-01,55
2013-05-01,40
2013-06-01,59
2013-07-01,59
2013-08-01,44
2013-09-01,44
2013-10-01,44
2013-11-01,45
2013-12-01,42
2014-01-01,46
2014-02-01,52
2014-03-01,50
2014-04-01,50
2014-05-01,38
2014-06-01,41
2014-07-01,47
2014-08-01,38
2014-09-01,43
2014-10-01,44
2014-11-01,44
2014-12-01,39
2015-01-01,37
2015-02-01,40
2015-03-01,45
2015-04-01,44
2015-05-01,38
2015-06-01,45
2015-07-01,42
2015-08-01,37
2015-09-01,42
2015-10-01,46
2015-11-01,52
2015-12-01,42
2016-01-01,37
2016-02-01,46
2016-03-01,40
2016-04-01,36
2016-05-01,34
2016-06-01,37
2016-07-01,39
2016-08-01,42
2016-09-01,43
2016-10-01,40
2016-11-01,44
2016-12-01,38
2017-01-01,38
2017-02-01,44
2017-03-01,42
2017-04-01,35
2017-05-01,34
2017-06-01,34
2017-07-01,31
2017-08-01,33
2017-09-01,37
2017-10-01,35
2017-11-01,37
2017-12-01,36
2018-01-01,42
2018-02-01,36
2018-03-01,33
2018-04-01,30
2018-05-01,30
2018-06-01,32
2018-07-01,30
2018-08-01,29
2018-09-01,30
2018-10-01,30
2018-11-01,29
2018-12-01,32
2019-01-01,33
2019-02-01,33
2019-03-01,39
2019-04-01,30
2019-05-01,28
2019-06-01,25
2019-07-01,26
2019-08-01,28
2019-09-01,32
2019-10-01,33
2019-11-01,29
2019-12-01,30
2020-01-01,29
2020-02-01,31
2020-03-01,28
2020-04-01,29
2020-05-01,35
2020-06-01,36
2020-07-01,30
2020-08-01,26
2020-09-01,25
2020-10-01,23
2020-11-01,19
2020-12-01,21
2021-01-01,23
2021-02-01,27
2021-03-01,22
2021-04-01,19
2021-05-01,17
2021-06-01,15
2021-07-01,16
2021-08-01,17
2021-09-01,16
2021-10-01,18
2021-11-01,21
2021-12-01,18
2022-01-01,19
2022-02-01,18
2022-03-01,18
2022-04-01,23
2022-05-01,20
2022-06-01,19
2022-07-01,19
2022-08-01,19
2022-09-01,25
2022-10-01,22
2022-11-01,25
2022-12-01,22
2023-01-01,24
2023-02-01,24
2023-03-01,25
2023-04-01,24
2023-05-01,22
2023-06-01,27
2023-07-01,27
2023-08-01,24
2023-09-01,27
2023-10-01,26
2023-11-01,31
2023-12-01,29
2024-01-01,37
2024-02-01,33
2024-03-01,32
2024-04-01,29
2024-05-01,27
2024-06-01,36
2024-07-01,35
2024-08-01,34
2024-09-01,33
2024-10-01,33
2024-11-01,47
2024-12-01,50
2025-01-01,38
2025-02-01,43
2025-03-01,30
2025-04-01,33
2025-05-01,33
2025-06-01,30
2025-07-01,34
2025-08-01,35
2025-09-01,32
2025-10-01,41
2025-11-01,42
2025-12-01,41
2026-01-01,35
2026-02-01,38
2026-03-01,48
2026-04-01,41
2026-05-01,34
2026-06-01,33
2026-07-01,37
