date,kw_kredit
2008-01-01,57
2008-02-01,51
2008-03-01,55
2008-04-01,60
2008-05-01,56
2008-06-01,55
2008-07-01,63
2008-08-01,60
2008-09-01,59
2008-10-01,79
2008-11-01,59
2008-12-01,56
2009-01-01,63
2009-02-01,57
2009-03-01,64
2009-04-01,57
2009-05-01,53
2009-06-01,46
2009-07-01,51
2009-08-01,50
2009-09-01,53
2009-10-01,48
2009-11-01,43
2009-12-01,41
2010-01-01,45
2010-02-01,47
2010-03-01,55
2010-04-01,52
2010-05-01,54
2010-06-01,55
2010-07-01,47
2010-08-01,48
2010-09-01,46
2010-10-01,43
2010-11-01,43
2010-12-01,37
2011-01-01,49
2011-02-01,49
2011-03-01,52
2011-04-01,49
2011-05-01,52
2011-06-01,47
2011-07-01,55
2011-08-01,59
2011-09-01,50
2011-10-01,45
2011-11-01,47
2011-12-01,40
2012-01-01,54
2012-02-01,47
2012-03-01,51
2012-04-01,51
2012-05-01,51
2012-06-01,49
2012-07-01,54
2012-08-01,55
2012-09-01,54
2012-10-01,48
2012-11-01,47
2012-12-01,37
2013-01-01,51
2013-02-01,55
2013-03-01,52
2013-04-01,57
2013-05-01,51
2013-06-01,53
2013-07-01,57
2013-08-01,53
2013-09-01,52
2013-10-01,53
2013-11-01,51
2013-12-01,42
2014-01-01,62
2014-02-01,62
2014-03-01,61
2014-04-01,58
2014-05-01,58
2014-06-01,55
2014-07-01,56
2014-08-01,57
2014-09-01,63
2014-10-01,60
2014-11-01,52
2014-12-01,50
2015-01-01,86
2015-02-01,76
2015-03-01,73
2015-04-01,69
2015-05-01,63
2015-06-01,66
2015-07-01,65
2015-08-01,66
2015-09-01,64
2015-10-01,59
2015-11-01,58
2015-12-01,53
2016-01-01,72
2016-02-01,73
2016-03-01,79
2016-04-01,69
2016-05-01,65
2016-06-01,70
2016-07-01,66
2016-08-01,65
2016-09-01,70
2016-10-01,66
2016-11-01,67
2016-12-01,58
2017-01-01,70
2017-02-01,74
2017-03-01,83
2017-04-01,70
2017-05-01,78
2017-06-01,71
2017-07-01,79
2017-08-01,78
2017-09-01,76
2017-10-01,69
2017-11-01,68
2017-12-01,57
2018-01-01,81
2018-02-01,87
2018-03-01,82
2018-04-01,78
2018-05-01,78
2018-06-01,76
2018-07-01,80
2018-08-01,80
2018-09-01,81
2018-10-01,83
2018-11-01,73
2018-12-01,63
2019-01-01,81
2019-02-01,88
2019-03-01,98
2019-04-01,90
2019-05-01,80
2019-06-01,79
2019-07-01,87
2019-08-01,84
2019-09-01,83
2019-10-01,88
2019-11-01,88
2019-12-01,70
2020-01-01,88
2020-02-01,96
2020-03-01,92
2020-04-01,91
2020-05-01,88
2020-06-01,87
2020-07-01,87
2020-08-01,84
2020-09-01,76
2020-10-01,87
2020-11-01,66
2020-12-01,63
2021-01-01,86
2021-02-01,85
2021-03-01,82
2021-04-01,78
2021-05-01,70
2021-06-01,69
2021-07-01,69
2021-08-01,72
2021-09-01,72
2021-10-01,69
2021-11-01,60
2021-12-01,59
2022-01-01,81
2022-02-01,85
2022-03-01,92
2022-04-01,85
2022-05-01,83
2022-06-01,83
2022-07-01,86
2022-08-01,83
2022-09-01,87
2022-10-01,83
2022-11-01,77
2022-12-01,64
2023-01-01,90
2023-02-01,87
2023-03-01,82
2023-04-01,82
2023-05-01,93
2023-06-01,78
2023-07-01,86
2023-08-01,91
2023-09-01,85
2023-10-01,91
2023-11-01,81
2023-12-01,70
2024-01-01,95
2024-02-01,97
2024-03-01,86
2024-04-01,93
2024-05-01,93
2024-06-01,86
2024-07-01,96
2024-08-01,92
2024-09-01,95
2024-10-01,95
2024-11-01,86
2024-12-01,83
2025-01-01,100
2025-02-01,92
2025-03-01,90
2025-04-01,89
2025-05-01,83
2025-06-01,81
2025-07-01,92
2025-08-01,88
2025-09-01,88
2025-10-01,84
2025-11-01,80
2025-12-01,81
2026-01-01,94
2026-02-01,96
2026-03-01,97
2026-04-01,100
2026-05-01,91
2026-06-01,88
2026-07-01,98
