date,kw_lebenslauf
2008-01-01,100
2008-02-01,89
2008-03-01,72
2008-04-01,78
2008-05-01,70
2008-06-01,73
2008-07-01,53
2008-08-01,50
2008-09-01,75
2008-10-01,76
2008-11-01,77
2008-12-01,59
2009-01-01,82
2009-02-01,80
2009-03-01,81
2009-04-01,72
2009-05-01,70
2009-06-01,67
2009-07-01,51
2009-08-01,46
2009-09-01,66
2009-10-01,76
2009-11-01,83
2009-12-01,64
2010-01-01,94
2010-02-01,91
2010-03-01,87
2010-04-01,84
2010-05-01,72
2010-06-01,64
2010-07-01,45
2010-08-01,51
2010-09-01,61
2010-10-01,67
2010-11-01,73
2010-12-01,53
2011-01-01,85
2011-02-01,86
2011-03-01,79
2011-04-01,71
2011-05-01,72
2011-06-01,57
2011-07-01,48
2011-08-01,50
2011-09-01,68
2011-10-01,71
2011-11-01,75
2011-12-01,60
2012-01-01,87
2012-02-01,83
2012-03-01,71
2012-04-01,63
2012-05-01,56
2012-06-01,50
2012-07-01,43
2012-08-01,41
2012-09-01,58
2012-10-01,59
2012-11-01,62
2012-12-01,46
2013-01-01,70
2013-02-01,73
2013-03-01,61
2013-04-01,59
2013-05-01,55
2013-06-01,48
2013-07-01,42
2013-08-01,45
2013-09-01,64
2013-10-01,61
2013-11-01,61
2013-12-01,53
2014-01-01,69
2014-02-01,65
2014-03-01,64
2014-04-01,60
2014-05-01,56
2014-06-01,46
2014-07-01,43
2014-08-01,44
2014-09-01,59
2014-10-01,59
2014-11-01,59
2014-12-01,45
2015-01-01,68
2015-02-01,68
2015-03-01,61
2015-04-01,55
2015-05-01,50
2015-06-01,51
2015-07-01,39
2015-08-01,39
2015-09-01,51
2015-10-01,59
2015-11-01,61
2015-12-01,44
2016-01-01,66
2016-02-01,59
2016-03-01,54
2016-04-01,59
2016-05-01,52
2016-06-01,42
2016-07-01,32
2016-08-01,37
2016-09-01,49
2016-10-01,48
2016-11-01,50
2016-12-01,38
2017-01-01,54
2017-02-01,53
2017-03-01,53
2017-04-01,43
2017-05-01,42
2017-06-01,38
2017-07-01,34
2017-08-01,35
2017-09-01,47
2017-10-01,54
2017-11-01,50
2017-12-01,39
2018-01-01,59
2018-02-01,53
2018-03-01,46
2018-04-01,44
2018-05-01,38
2018-06-01,39
2018-07-01,31
2018-08-01,34
2018-09-01,45
2018-10-01,47
2018-11-01,46
2018-12-01,35
2019-01-01,52
2019-02-01,47
2019-03-01,42
2019-04-01,40
2019-05-01,52
2019-06-01,34
2019-07-01,31
2019-08-01,30
2019-09-01,43
2019-10-01,43
2019-11-01,42
2019-12-01,35
2020-01-01,48
2020-02-01,46
2020-03-01,37
2020-04-01,36
2020-05-01,39
2020-06-01,40
2020-07-01,36
2020-08-01,33
2020-09-01,40
2020-10-01,45
2020-11-01,41
2020-12-01,35
2021-01-01,48
2021-02-01,44
2021-03-01,47
2021-04-01,43
2021-05-01,38
2021-06-01,36
2021-07-01,29
2021-08-01,31
2021-09-01,39
2021-10-01,45
2021-11-01,42
2021-12-01,39
2022-01-01,49
2022-02-01,51
2022-03-01,43
2022-04-01,39
2022-05-01,38
2022-06-01,34
2022-07-01,30
2022-08-01,30
2022-09-01,40
2022-10-01,41
2022-11-01,41
2022-12-01,31
2023-01-01,44
2023-02-01,44
2023-03-01,41
2023-04-01,34
2023-05-01,34
2023-06-01,36
2023-07-01,29
2023-08-01,29
2023-09-01,37
2023-10-01,40
2023-11-01,39
2023-12-01,30
2024-01-01,40
2024-02-01,42
2024-03-01,37
2024-04-01,36
2024-05-01,32
2024-06-01,30
2024-07-01,26
2024-08-01,28
2024-09-01,37
2024-10-01,41
2024-11-01,39
2024-12-01,31
2025-01-01,49
2025-02-01,41
2025-03-01,41
2025-04-01,33
2025-05-01,34
2025-06-01,28
2025-07-01,27
2025-08-01,28
2025-09-01,37
2025-10-01,39
2025-11-01,37
2025-12-01,28
2026-01-01,39
2026-02-01,40
2026-03-01,39
2026-04-01,32
2026-05-01,29
2026-06-01,27
2026-07-01,25
