date,kw_moebel
2008-01-01,74
2008-02-01,74
2008-03-01,71
2008-04-01,63
2008-05-01,59
2008-06-01,58
2008-07-01,68
2008-08-01,72
2008-09-01,75
2008-10-01,66
2008-11-01,67
2008-12-01,58
2009-01-01,75
2009-02-01,72
2009-03-01,72
2009-04-01,66
2009-05-01,67
2009-06-01,72
2009-07-01,79
2009-08-01,81
2009-09-01,83
2009-10-01,85
2009-11-01,88
2009-12-01,82
2010-01-01,100
2010-02-01,90
2010-03-01,98
2010-04-01,86
2010-05-01,87
2010-06-01,79
2010-07-01,74
2010-08-01,83
2010-09-01,82
2010-10-01,87
2010-11-01,84
2010-12-01,69
2011-01-01,93
2011-02-01,84
2011-03-01,81
2011-04-01,72
2011-05-01,70
2011-06-01,78
2011-07-01,89
2011-08-01,87
2011-09-01,84
2011-10-01,82
2011-11-01,75
2011-12-01,74
2012-01-01,80
2012-02-01,76
2012-03-01,70
2012-04-01,72
2012-05-01,65
2012-06-01,63
2012-07-01,69
2012-08-01,72
2012-09-01,70
2012-10-01,70
2012-11-01,72
2012-12-01,62
2013-01-01,77
2013-02-01,69
2013-03-01,73
2013-04-01,65
2013-05-01,58
2013-06-01,56
2013-07-01,61
2013-08-01,66
2013-09-01,69
2013-10-01,65
2013-11-01,72
2013-12-01,60
2014-01-01,87
2014-02-01,74
2014-03-01,70
2014-04-01,65
2014-05-01,64
2014-06-01,60
2014-07-01,75
2014-08-01,73
2014-09-01,72
2014-10-01,62
2014-11-01,76
2014-12-01,64
2015-01-01,81
2015-02-01,74
2015-03-01,71
2015-04-01,65
2015-05-01,62
2015-06-01,59
2015-07-01,60
2015-08-01,62
2015-09-01,63
2015-10-01,71
2015-11-01,71
2015-12-01,64
2016-01-01,77
2016-02-01,66
2016-03-01,68
2016-04-01,60
2016-05-01,57
2016-06-01,57
2016-07-01,59
2016-08-01,60
2016-09-01,60
2016-10-01,67
2016-11-01,66
2016-12-01,60
2017-01-01,71
2017-02-01,67
2017-03-01,65
2017-04-01,66
2017-05-01,59
2017-06-01,55
2017-07-01,60
2017-08-01,61
2017-09-01,66
2017-10-01,75
2017-11-01,80
2017-12-01,63
2018-01-01,79
2018-02-01,71
2018-03-01,72
2018-04-01,63
2018-05-01,57
2018-06-01,58
2018-07-01,65
2018-08-01,62
2018-09-01,72
2018-10-01,76
2018-11-01,72
2018-12-01,74
2019-01-01,86
2019-02-01,78
2019-03-01,71
2019-04-01,58
2019-05-01,55
2019-06-01,49
2019-07-01,58
2019-08-01,58
2019-09-01,62
2019-10-01,62
2019-11-01,68
2019-12-01,61
2020-01-01,83
2020-02-01,66
2020-03-01,50
2020-04-01,69
2020-05-01,87
2020-06-01,78
2020-07-01,71
2020-08-01,73
2020-09-01,74
2020-10-01,75
2020-11-01,73
2020-12-01,70
2021-01-01,83
2021-02-01,92
2021-03-01,84
2021-04-01,66
2021-05-01,66
2021-06-01,50
2021-07-01,49
2021-08-01,55
2021-09-01,51
2021-10-01,57
2021-11-01,53
2021-12-01,49
2022-01-01,73
2022-02-01,64
2022-03-01,61
2022-04-01,58
2022-05-01,46
2022-06-01,40
2022-07-01,44
2022-08-01,49
2022-09-01,46
2022-10-01,51
2022-11-01,53
2022-12-01,43
2023-01-01,58
2023-02-01,55
2023-03-01,52
2023-04-01,50
2023-05-01,43
2023-06-01,44
2023-07-01,38
2023-08-01,45
2023-09-01,40
2023-10-01,46
2023-11-01,46
2023-12-01,44
2024-01-01,56
2024-02-01,50
2024-03-01,47
2024-04-01,47
2024-05-01,44
2024-06-01,38
2024-07-01,40
2024-08-01,41
2024-09-01,43
2024-10-01,48
2024-11-01,48
2024-12-01,45
2025-01-01,52
2025-02-01,51
2025-03-01,49
2025-04-01,46
2025-05-01,44
2025-06-01,41
2025-07-01,44
2025-08-01,50
2025-09-01,46
2025-10-01,48
2025-11-01,51
2025-12-01,43
2026-01-01,51
2026-02-01,51
2026-03-01,48
2026-04-01,47
2026-05-01,44
2026-06-01,38
2026-07-01,42
