date,kw_restaurant
2008-01-01,26
2008-02-01,29
2008-03-01,27
2008-04-01,28
2008-05-01,28
2008-06-01,27
2008-07-01,30
2008-08-01,29
2008-09-01,30
2008-10-01,30
2008-11-01,33
2008-12-01,36
2009-01-01,30
2009-02-01,28
2009-03-01,28
2009-04-01,29
2009-05-01,29
2009-06-01,28
2009-07-01,30
2009-08-01,29
2009-09-01,30
2009-10-01,30
2009-11-01,33
2009-12-01,34
2010-01-01,30
2010-02-01,32
2010-03-01,32
2010-04-01,31
2010-05-01,34
2010-06-01,28
2010-07-01,31
2010-08-01,36
2010-09-01,34
2010-10-01,34
2010-11-01,37
2010-12-01,38
2011-01-01,35
2011-02-01,38
2011-03-01,35
2011-04-01,34
2011-05-01,36
2011-06-01,36
2011-07-01,39
2011-08-01,40
2011-09-01,37
2011-10-01,39
2011-11-01,40
2011-12-01,43
2012-01-01,39
2012-02-01,41
2012-03-01,35
2012-04-01,39
2012-05-01,38
2012-06-01,38
2012-07-01,42
2012-08-01,42
2012-09-01,40
2012-10-01,41
2012-11-01,42
2012-12-01,43
2013-01-01,38
2013-02-01,40
2013-03-01,41
2013-04-01,38
2013-05-01,44
2013-06-01,38
2013-07-01,43
2013-08-01,47
2013-09-01,42
2013-10-01,45
2013-11-01,47
2013-12-01,49
2014-01-01,44
2014-02-01,46
2014-03-01,46
2014-04-01,43
2014-05-01,46
2014-06-01,42
2014-07-01,49
2014-08-01,51
2014-09-01,45
2014-10-01,47
2014-11-01,49
2014-12-01,53
2015-01-01,45
2015-02-01,49
2015-03-01,48
2015-04-01,47
2015-05-01,47
2015-06-01,47
2015-07-01,51
2015-08-01,52
2015-09-01,47
2015-10-01,49
2015-11-01,49
2015-12-01,53
2016-01-01,47
2016-02-01,53
2016-03-01,53
2016-04-01,52
2016-05-01,55
2016-06-01,48
2016-07-01,58
2016-08-01,55
2016-09-01,54
2016-10-01,56
2016-11-01,54
2016-12-01,57
2017-01-01,52
2017-02-01,57
2017-03-01,57
2017-04-01,56
2017-05-01,53
2017-06-01,56
2017-07-01,60
2017-08-01,64
2017-09-01,56
2017-10-01,57
2017-11-01,58
2017-12-01,63
2018-01-01,58
2018-02-01,59
2018-03-01,57
2018-04-01,56
2018-05-01,58
2018-06-01,58
2018-07-01,67
2018-08-01,70
2018-09-01,63
2018-10-01,63
2018-11-01,61
2018-12-01,69
2019-01-01,57
2019-02-01,66
2019-03-01,64
2019-04-01,63
2019-05-01,62
2019-06-01,63
2019-07-01,72
2019-08-01,77
2019-09-01,67
2019-10-01,67
2019-11-01,64
2019-12-01,75
2020-01-01,64
2020-02-01,74
2020-03-01,32
2020-04-01,19
2020-05-01,43
2020-06-01,69
2020-07-01,82
2020-08-01,86
2020-09-01,73
2020-10-01,58
2020-11-01,27
2020-12-01,24
2021-01-01,24
2021-02-01,24
2021-03-01,25
2021-04-01,26
2021-05-01,51
2021-06-01,70
2021-07-01,84
2021-08-01,100
2021-09-01,79
2021-10-01,80
2021-11-01,51
2021-12-01,47
2022-01-01,59
2022-02-01,73
2022-03-01,63
2022-04-01,76
2022-05-01,77
2022-06-01,80
2022-07-01,87
2022-08-01,90
2022-09-01,79
2022-10-01,78
2022-11-01,70
2022-12-01,77
2023-01-01,76
2023-02-01,79
2023-03-01,72
2023-04-01,76
2023-05-01,74
2023-06-01,75
2023-07-01,88
2023-08-01,90
2023-09-01,75
2023-10-01,77
2023-11-01,69
2023-12-01,77
2024-01-01,71
2024-02-01,80
2024-03-01,68
2024-04-01,68
2024-05-01,74
2024-06-01,69
2024-07-01,82
2024-08-01,84
2024-09-01,71
2024-10-01,72
2024-11-01,68
2024-12-01,78
2025-01-01,65
2025-02-01,68
2025-03-01,65
2025-04-01,65
2025-05-01,70
2025-06-01,69
2025-07-01,76
2025-08-01,86
2025-09-01,71
2025-10-01,68
2025-11-01,71
2025-12-01,76
2026-01-01,69
2026-02-01,76
2026-03-01,70
2026-04-01,65
2026-05-01,71
2026-06-01,66
2026-07-01,74
