date,kw_teilzeitjob
2008-01-01,61
2008-02-01,86
2008-03-01,92
2008-04-01,64
2008-05-01,63
2008-06-01,66
2008-07-01,45
2008-08-01,79
2008-09-01,84
2008-10-01,52
2008-11-01,100
2008-12-01,59
2009-01-01,70
2009-02-01,79
2009-03-01,85
2009-04-01,67
2009-05-01,42
2009-06-01,35
2009-07-01,58
2009-08-01,68
2009-09-01,76
2009-10-01,74
2009-11-01,38
2009-12-01,41
2010-01-01,56
2010-02-01,53
2010-03-01,34
2010-04-01,74
2010-05-01,49
2010-06-01,58
2010-07-01,46
2010-08-01,53
2010-09-01,46
2010-10-01,65
2010-11-01,51
2010-12-01,44
2011-01-01,77
2011-02-01,63
2011-03-01,60
2011-04-01,41
2011-05-01,57
2011-06-01,47
2011-07-01,83
2011-08-01,64
2011-09-01,51
2011-10-01,80
2011-11-01,45
2011-12-01,43
2012-01-01,59
2012-02-01,54
2012-03-01,57
2012-04-01,59
2012-05-01,52
2012-06-01,50
2012-07-01,79
2012-08-01,74
2012-09-01,77
2012-10-01,80
2012-11-01,57
2012-12-01,28
2013-01-01,78
2013-02-01,74
2013-03-01,69
2013-04-01,65
2013-05-01,55
2013-06-01,54
2013-07-01,45
2013-08-01,65
2013-09-01,97
2013-10-01,72
2013-11-01,56
2013-12-01,50
2014-01-01,69
2014-02-01,72
2014-03-01,72
2014-04-01,48
2014-05-01,45
2014-06-01,36
2014-07-01,59
2014-08-01,54
2014-09-01,75
2014-10-01,70
2014-11-01,57
2014-12-01,53
2015-01-01,67
2015-02-01,60
2015-03-01,71
2015-04-01,55
2015-05-01,60
2015-06-01,60
2015-07-01,67
2015-08-01,64
2015-09-01,74
2015-10-01,67
2015-11-01,74
2015-12-01,49
2016-01-01,68
2016-02-01,76
2016-03-01,42
2016-04-01,58
2016-05-01,60
2016-06-01,69
2016-07-01,48
2016-08-01,57
2016-09-01,93
2016-10-01,69
2016-11-01,63
2016-12-01,44
2017-01-01,61
2017-02-01,76
2017-03-01,75
2017-04-01,67
2017-05-01,62
2017-06-01,66
2017-07-01,58
2017-08-01,61
2017-09-01,73
2017-10-01,70
2017-11-01,72
2017-12-01,36
2018-01-01,79
2018-02-01,71
2018-03-01,55
2018-04-01,52
2018-05-01,39
2018-06-01,38
2018-07-01,57
2018-08-01,49
2018-09-01,59
2018-10-01,42
2018-11-01,41
2018-12-01,26
2019-01-01,40
2019-02-01,50
2019-03-01,47
2019-04-01,35
2019-05-01,31
2019-06-01,35
2019-07-01,43
2019-08-01,40
2019-09-01,47
2019-10-01,36
2019-11-01,43
2019-12-01,28
2020-01-01,35
2020-02-01,37
2020-03-01,32
2020-04-01,18
2020-05-01,26
2020-06-01,30
2020-07-01,26
2020-08-01,38
2020-09-01,43
2020-10-01,41
2020-11-01,28
2020-12-01,20
2021-01-01,26
2021-02-01,29
2021-03-01,28
2021-04-01,37
2021-05-01,21
2021-06-01,27
2021-07-01,28
2021-08-01,38
2021-09-01,35
2021-10-01,40
2021-11-01,0
2021-12-01,18
2022-01-01,28
2022-02-01,29
2022-03-01,34
2022-04-01,27
2022-05-01,34
2022-06-01,29
2022-07-01,21
2022-08-01,36
2022-09-01,19
2022-10-01,36
2022-11-01,32
2022-12-01,30
2023-01-01,30
2023-02-01,30
2023-03-01,30
2023-04-01,18
2023-05-01,18
2023-06-01,18
2023-07-01,25
2023-08-01,27
2023-09-01,34
2023-10-01,25
2023-11-01,23
2023-12-01,27
2024-01-01,28
2024-02-01,33
2024-03-01,24
2024-04-01,29
2024-05-01,30
2024-06-01,19
2024-07-01,27
2024-08-01,24
2024-09-01,35
2024-10-01,30
2024-11-01,27
2024-12-01,21
2025-01-01,32
2025-02-01,19
2025-03-01,26
2025-04-01,26
2025-05-01,22
2025-06-01,16
2025-07-01,29
2025-08-01,25
2025-09-01,34
2025-10-01,28
2025-11-01,26
2025-12-01,16
2026-01-01,30
2026-02-01,34
2026-03-01,29
2026-04-01,44
2026-05-01,21
2026-06-01,35
2026-07-01,25
