date,kw_urlaub_buchen
2008-01-01,21
2008-02-01,27
2008-03-01,20
2008-04-01,17
2008-05-01,16
2008-06-01,32
2008-07-01,31
2008-08-01,18
2008-09-01,13
2008-10-01,8
2008-11-01,10
2008-12-01,16
2009-01-01,22
2009-02-01,19
2009-03-01,21
2009-04-01,22
2009-05-01,24
2009-06-01,46
2009-07-01,44
2009-08-01,28
2009-09-01,17
2009-10-01,9
2009-11-01,12
2009-12-01,11
2010-01-01,26
2010-02-01,24
2010-03-01,25
2010-04-01,23
2010-05-01,25
2010-06-01,38
2010-07-01,44
2010-08-01,27
2010-09-01,20
2010-10-01,13
2010-11-01,13
2010-12-01,14
2011-01-01,42
2011-02-01,39
2011-03-01,41
2011-04-01,42
2011-05-01,51
2011-06-01,54
2011-07-01,76
2011-08-01,49
2011-09-01,27
2011-10-01,21
2011-11-01,19
2011-12-01,23
2012-01-01,54
2012-02-01,55
2012-03-01,46
2012-04-01,53
2012-05-01,57
2012-06-01,81
2012-07-01,90
2012-08-01,49
2012-09-01,24
2012-10-01,17
2012-11-01,16
2012-12-01,26
2013-01-01,70
2013-02-01,51
2013-03-01,49
2013-04-01,45
2013-05-01,56
2013-06-01,76
2013-07-01,100
2013-08-01,58
2013-09-01,27
2013-10-01,25
2013-11-01,30
2013-12-01,32
2014-01-01,82
2014-02-01,60
2014-03-01,53
2014-04-01,56
2014-05-01,62
2014-06-01,93
2014-07-01,100
2014-08-01,73
2014-09-01,37
2014-10-01,26
2014-11-01,29
2014-12-01,35
2015-01-01,74
2015-02-01,71
2015-03-01,58
2015-04-01,56
2015-05-01,62
2015-06-01,95
2015-07-01,96
2015-08-01,62
2015-09-01,31
2015-10-01,25
2015-11-01,23
2015-12-01,29
2016-01-01,57
2016-02-01,58
2016-03-01,52
2016-04-01,47
2016-05-01,58
2016-06-01,69
2016-07-01,92
2016-08-01,63
2016-09-01,34
2016-10-01,26
2016-11-01,29
2016-12-01,31
2017-01-01,65
2017-02-01,55
2017-03-01,52
2017-04-01,51
2017-05-01,67
2017-06-01,87
2017-07-01,90
2017-08-01,72
2017-09-01,31
2017-10-01,28
2017-11-01,26
2017-12-01,33
2018-01-01,75
2018-02-01,57
2018-03-01,52
2018-04-01,49
2018-05-01,61
2018-06-01,77
2018-07-01,95
2018-08-01,59
2018-09-01,42
2018-10-01,27
2018-11-01,33
2018-12-01,44
2019-01-01,82
2019-02-01,59
2019-03-01,55
2019-04-01,53
2019-05-01,60
2019-06-01,98
2019-07-01,95
2019-08-01,55
2019-09-01,39
2019-10-01,32
2019-11-01,31
2019-12-01,40
2020-01-01,75
2020-02-01,55
2020-03-01,21
2020-04-01,14
2020-05-01,15
2020-06-01,27
2020-07-01,30
2020-08-01,29
2020-09-01,11
2020-10-01,11
2020-11-01,8
2020-12-01,8
2021-01-01,16
2021-02-01,14
2021-03-01,14
2021-04-01,21
2021-05-01,44
2021-06-01,78
2021-07-01,64
2021-08-01,45
2021-09-01,28
2021-10-01,21
2021-11-01,16
2021-12-01,26
2022-01-01,52
2022-02-01,56
2022-03-01,51
2022-04-01,58
2022-05-01,76
2022-06-01,79
2022-07-01,79
2022-08-01,62
2022-09-01,30
2022-10-01,29
2022-11-01,24
2022-12-01,35
2023-01-01,62
2023-02-01,50
2023-03-01,47
2023-04-01,48
2023-05-01,61
2023-06-01,66
2023-07-01,69
2023-08-01,49
2023-09-01,30
2023-10-01,25
2023-11-01,25
2023-12-01,30
2024-01-01,62
2024-02-01,44
2024-03-01,39
2024-04-01,36
2024-05-01,46
2024-06-01,48
2024-07-01,55
2024-08-01,43
2024-09-01,25
2024-10-01,26
2024-11-01,27
2024-12-01,34
2025-01-01,51
2025-02-01,38
2025-03-01,39
2025-04-01,34
2025-05-01,42
2025-06-01,53
2025-07-01,54
2025-08-01,55
2025-09-01,28
2025-10-01,30
2025-11-01,26
2025-12-01,35
2026-01-01,51
2026-02-01,46
2026-03-01,49
2026-04-01,49
2026-05-01,50
2026-06-01,64
2026-07-01,79
