date,kw_wohnung_mieten
2008-01-01,7
2008-02-01,5
2008-03-01,7
2008-04-01,6
2008-05-01,6
2008-06-01,6
2008-07-01,7
2008-08-01,8
2008-09-01,6
2008-10-01,8
2008-11-01,6
2008-12-01,5
2009-01-01,6
2009-02-01,7
2009-03-01,8
2009-04-01,9
2009-05-01,8
2009-06-01,9
2009-07-01,10
2009-08-01,11
2009-09-01,11
2009-10-01,10
2009-11-01,8
2009-12-01,9
2010-01-01,11
2010-02-01,11
2010-03-01,11
2010-04-01,12
2010-05-01,14
2010-06-01,14
2010-07-01,12
2010-08-01,16
2010-09-01,16
2010-10-01,13
2010-11-01,12
2010-12-01,12
2011-01-01,18
2011-02-01,19
2011-03-01,19
2011-04-01,18
2011-05-01,21
2011-06-01,22
2011-07-01,21
2011-08-01,27
2011-09-01,24
2011-10-01,22
2011-11-01,20
2011-12-01,20
2012-01-01,26
2012-02-01,24
2012-03-01,25
2012-04-01,25
2012-05-01,27
2012-06-01,28
2012-07-01,33
2012-08-01,34
2012-09-01,34
2012-10-01,31
2012-11-01,30
2012-12-01,24
2013-01-01,36
2013-02-01,35
2013-03-01,37
2013-04-01,41
2013-05-01,40
2013-06-01,39
2013-07-01,41
2013-08-01,49
2013-09-01,48
2013-10-01,43
2013-11-01,40
2013-12-01,34
2014-01-01,48
2014-02-01,47
2014-03-01,47
2014-04-01,46
2014-05-01,50
2014-06-01,49
2014-07-01,55
2014-08-01,54
2014-09-01,53
2014-10-01,50
2014-11-01,46
2014-12-01,38
2015-01-01,50
2015-02-01,49
2015-03-01,50
2015-04-01,51
2015-05-01,50
2015-06-01,50
2015-07-01,49
2015-08-01,59
2015-09-01,55
2015-10-01,51
2015-11-01,47
2015-12-01,41
2016-01-01,55
2016-02-01,60
2016-03-01,60
2016-04-01,58
2016-05-01,59
2016-06-01,60
2016-07-01,61
2016-08-01,63
2016-09-01,67
2016-10-01,54
2016-11-01,56
2016-12-01,49
2017-01-01,61
2017-02-01,65
2017-03-01,64
2017-04-01,64
2017-05-01,62
2017-06-01,62
2017-07-01,63
2017-08-01,66
2017-09-01,64
2017-10-01,60
2017-11-01,57
2017-12-01,51
2018-01-01,67
2018-02-01,67
2018-03-01,66
2018-04-01,68
2018-05-01,68
2018-06-01,71
2018-07-01,69
2018-08-01,69
2018-09-01,70
2018-10-01,70
2018-11-01,69
2018-12-01,61
2019-01-01,70
2019-02-01,72
2019-03-01,68
2019-04-01,70
2019-05-01,64
2019-06-01,69
2019-07-01,71
2019-08-01,71
2019-09-01,76
2019-10-01,70
2019-11-01,72
2019-12-01,59
2020-01-01,74
2020-02-01,77
2020-03-01,55
2020-04-01,65
2020-05-01,79
2020-06-01,93
2020-07-01,81
2020-08-01,81
2020-09-01,77
2020-10-01,73
2020-11-01,59
2020-12-01,61
2021-01-01,83
2021-02-01,78
2021-03-01,79
2021-04-01,90
2021-05-01,79
2021-06-01,72
2021-07-01,76
2021-08-01,89
2021-09-01,84
2021-10-01,78
2021-11-01,68
2021-12-01,69
2022-01-01,81
2022-02-01,81
2022-03-01,88
2022-04-01,86
2022-05-01,79
2022-06-01,80
2022-07-01,85
2022-08-01,89
2022-09-01,76
2022-10-01,76
2022-11-01,76
2022-12-01,71
2023-01-01,100
2023-02-01,100
2023-03-01,97
2023-04-01,90
2023-05-01,89
2023-06-01,87
2023-07-01,88
2023-08-01,96
2023-09-01,95
2023-10-01,87
2023-11-01,79
2023-12-01,68
2024-01-01,90
2024-02-01,70
2024-03-01,69
2024-04-01,65
2024-05-01,67
2024-06-01,60
2024-07-01,72
2024-08-01,76
2024-09-01,70
2024-10-01,68
2024-11-01,69
2024-12-01,61
2025-01-01,81
2025-02-01,81
2025-03-01,73
2025-04-01,74
2025-05-01,68
2025-06-01,66
2025-07-01,74
2025-08-01,74
2025-09-01,76
2025-10-01,70
2025-11-01,68
2025-12-01,63
2026-01-01,75
2026-02-01,71
2026-03-01,64
2026-04-01,66
2026-05-01,65
2026-06-01,66
2026-07-01,68
