date,topic_arbeitslosigkeit
2008-01-01,34
2008-02-01,24
2008-03-01,26
2008-04-01,36
2008-05-01,32
2008-06-01,31
2008-07-01,18
2008-08-01,21
2008-09-01,26
2008-10-01,34
2008-11-01,38
2008-12-01,33
2009-01-01,40
2009-02-01,40
2009-03-01,48
2009-04-01,44
2009-05-01,37
2009-06-01,38
2009-07-01,33
2009-08-01,28
2009-09-01,35
2009-10-01,36
2009-11-01,42
2009-12-01,34
2010-01-01,42
2010-02-01,33
2010-03-01,40
2010-04-01,36
2010-05-01,33
2010-06-01,35
2010-07-01,26
2010-08-01,26
2010-09-01,29
2010-10-01,34
2010-11-01,32
2010-12-01,27
2011-01-01,31
2011-02-01,28
2011-03-01,27
2011-04-01,25
2011-05-01,32
2011-06-01,28
2011-07-01,23
2011-08-01,26
2011-09-01,25
2011-10-01,26
2011-11-01,32
2011-12-01,27
2012-01-01,33
2012-02-01,32
2012-03-01,29
2012-04-01,29
2012-05-01,31
2012-06-01,30
2012-07-01,27
2012-08-01,25
2012-09-01,29
2012-10-01,31
2012-11-01,34
2012-12-01,25
2013-01-01,33
2013-02-01,33
2013-03-01,29
2013-04-01,33
2013-05-01,31
2013-06-01,32
2013-07-01,29
2013-08-01,26
2013-09-01,32
2013-10-01,32
2013-11-01,34
2013-12-01,28
2014-01-01,39
2014-02-01,35
2014-03-01,33
2014-04-01,32
2014-05-01,34
2014-06-01,34
2014-07-01,32
2014-08-01,32
2014-09-01,36
2014-10-01,39
2014-11-01,39
2014-12-01,33
2015-01-01,39
2015-02-01,43
2015-03-01,37
2015-04-01,41
2015-05-01,39
2015-06-01,38
2015-07-01,35
2015-08-01,29
2015-09-01,38
2015-10-01,36
2015-11-01,38
2015-12-01,33
2016-01-01,39
2016-02-01,41
2016-03-01,37
2016-04-01,37
2016-05-01,33
2016-06-01,33
2016-07-01,31
2016-08-01,28
2016-09-01,34
2016-10-01,32
2016-11-01,39
2016-12-01,33
2017-01-01,39
2017-02-01,38
2017-03-01,39
2017-04-01,34
2017-05-01,35
2017-06-01,30
2017-07-01,31
2017-08-01,27
2017-09-01,34
2017-10-01,32
2017-11-01,32
2017-12-01,31
2018-01-01,41
2018-02-01,30
2018-03-01,29
2018-04-01,29
2018-05-01,31
2018-06-01,29
2018-07-01,25
2018-08-01,25
2018-09-01,31
2018-10-01,32
2018-11-01,31
2018-12-01,27
2019-01-01,34
2019-02-01,32
2019-03-01,30
2019-04-01,28
2019-05-01,28
2019-06-01,26
2019-07-01,25
2019-08-01,23
2019-09-01,29
2019-10-01,30
2019-11-01,30
2019-12-01,24
2020-01-01,32
2020-02-01,29
2020-03-01,100
2020-04-01,78
2020-05-01,56
2020-06-01,60
2020-07-01,47
2020-08-01,41
2020-09-01,53
2020-10-01,46
2020-11-01,46
2020-12-01,41
2021-01-01,50
2021-02-01,43
2021-03-01,39
2021-04-01,34
2021-05-01,30
2021-06-01,26
2021-07-01,24
2021-08-01,25
2021-09-01,33
2021-10-01,27
2021-11-01,29
2021-12-01,28
2022-01-01,35
2022-02-01,34
2022-03-01,36
2022-04-01,30
2022-05-01,28
2022-06-01,31
2022-07-01,30
2022-08-01,30
2022-09-01,32
2022-10-01,30
2022-11-01,31
2022-12-01,31
2023-01-01,34
2023-02-01,31
2023-03-01,31
2023-04-01,29
2023-05-01,30
2023-06-01,30
2023-07-01,29
2023-08-01,27
2023-09-01,30
2023-10-01,30
2023-11-01,33
2023-12-01,29
2024-01-01,33
2024-02-01,33
2024-03-01,31
2024-04-01,33
2024-05-01,29
2024-06-01,25
2024-07-01,29
2024-08-01,29
2024-09-01,33
2024-10-01,33
2024-11-01,35
2024-12-01,33
2025-01-01,37
2025-02-01,35
2025-03-01,34
2025-04-01,30
2025-05-01,28
2025-06-01,29
2025-07-01,27
2025-08-01,29
2025-09-01,35
2025-10-01,41
2025-11-01,51
2025-12-01,59
2026-01-01,56
2026-02-01,58
2026-03-01,49
2026-04-01,86
2026-05-01,84
2026-06-01,45
2026-07-01,77
