date,topic_kino
2008-01-01,5
2008-02-01,6
2008-03-01,5
2008-04-01,4
2008-05-01,5
2008-06-01,4
2008-07-01,6
2008-08-01,5
2008-09-01,5
2008-10-01,5
2008-11-01,5
2008-12-01,6
2009-01-01,6
2009-02-01,5
2009-03-01,5
2009-04-01,4
2009-05-01,5
2009-06-01,4
2009-07-01,5
2009-08-01,4
2009-09-01,5
2009-10-01,5
2009-11-01,5
2009-12-01,6
2010-01-01,6
2010-02-01,6
2010-03-01,6
2010-04-01,5
2010-05-01,6
2010-06-01,4
2010-07-01,5
2010-08-01,5
2010-09-01,5
2010-10-01,4
2010-11-01,5
2010-12-01,5
2011-01-01,5
2011-02-01,4
2011-03-01,4
2011-04-01,4
2011-05-01,4
2011-06-01,4
2011-07-01,5
2011-08-01,4
2011-09-01,4
2011-10-01,5
2011-11-01,4
2011-12-01,4
2012-01-01,4
2012-02-01,4
2012-03-01,3
2012-04-01,4
2012-05-01,3
2012-06-01,3
2012-07-01,4
2012-08-01,3
2012-09-01,3
2012-10-01,3
2012-11-01,4
2012-12-01,4
2013-01-01,4
2013-02-01,4
2013-03-01,4
2013-04-01,3
2013-05-01,3
2013-06-01,3
2013-07-01,3
2013-08-01,4
2013-09-01,3
2013-10-01,4
2013-11-01,5
2013-12-01,5
2014-01-01,5
2014-02-01,4
2014-03-01,4
2014-04-01,5
2014-05-01,5
2014-06-01,5
2014-07-01,5
2014-08-01,6
2014-09-01,5
2014-10-01,6
2014-11-01,7
2014-12-01,7
2015-01-01,7
2015-02-01,8
2015-03-01,7
2015-04-01,7
2015-05-01,7
2015-06-01,7
2015-07-01,8
2015-08-01,9
2015-09-01,8
2015-10-01,9
2015-11-01,8
2015-12-01,9
2016-01-01,6
2016-02-01,6
2016-03-01,5
2016-04-01,4
2016-05-01,4
2016-06-01,4
2016-07-01,6
2016-08-01,6
2016-09-01,6
2016-10-01,7
2016-11-01,77
2016-12-01,92
2017-01-01,89
2017-02-01,100
2017-03-01,78
2017-04-01,84
2017-05-01,58
2017-06-01,63
2017-07-01,79
2017-08-01,83
2017-09-01,78
2017-10-01,92
2017-11-01,81
2017-12-01,89
2018-01-01,80
2018-02-01,94
2018-03-01,98
2018-04-01,61
2018-05-01,69
2018-06-01,63
2018-07-01,59
2018-08-01,35
2018-09-01,33
2018-10-01,30
2018-11-01,28
2018-12-01,22
2019-01-01,20
2019-02-01,21
2019-03-01,15
2019-04-01,14
2019-05-01,15
2019-06-01,11
2019-07-01,16
2019-08-01,13
2019-09-01,11
2019-10-01,15
2019-11-01,15
2019-12-01,14
2020-01-01,12
2020-02-01,14
2020-03-01,7
2020-04-01,2
2020-05-01,2
2020-06-01,4
2020-07-01,5
2020-08-01,4
2020-09-01,2
2020-10-01,2
2020-11-01,2
2020-12-01,2
2021-01-01,2
2021-02-01,2
2021-03-01,2
2021-04-01,2
2021-05-01,4
2021-06-01,5
2021-07-01,11
2021-08-01,12
2021-09-01,8
2021-10-01,11
2021-11-01,7
2021-12-01,6
2022-01-01,11
2022-02-01,8
2022-03-01,5
2022-04-01,6
2022-05-01,5
2022-06-01,5
2022-07-01,11
2022-08-01,13
2022-09-01,12
2022-10-01,14
2022-11-01,8
2022-12-01,9
2023-01-01,10
2023-02-01,9
2023-03-01,6
2023-04-01,8
2023-05-01,12
2023-06-01,36
2023-07-01,59
2023-08-01,56
2023-09-01,37
2023-10-01,45
2023-11-01,40
2023-12-01,34
2024-01-01,32
2024-02-01,42
2024-03-01,35
2024-04-01,23
2024-05-01,26
2024-06-01,23
2024-07-01,31
2024-08-01,36
2024-09-01,42
2024-10-01,51
2024-11-01,48
2024-12-01,54
2025-01-01,49
2025-02-01,50
2025-03-01,42
2025-04-01,43
2025-05-01,42
2025-06-01,40
2025-07-01,53
2025-08-01,53
2025-09-01,47
2025-10-01,43
2025-11-01,48
2025-12-01,66
2026-01-01,59
2026-02-01,56
2026-03-01,49
2026-04-01,44
2026-05-01,44
2026-06-01,38
2026-07-01,59
